scenario_id,vintage,timestamp,timestamp_utc,source_time_zone,scale_factor_gamma,campaign_role,dataset_split,default_campaign_interface_fit_allowed,temporal_policy,load_label_convention_basis,boundary_q_observed,zonal_generation_observed,boundary_coverage_qualified,boundary_coverage_failure,actual_total_load_mw,benchmark_total_load_mw
S1_2019_SUMMER_PEAK_PUBLIC,2019,2019-07-20 16:00,2019-07-20T20:00:00Z,EDT,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,30396.9,10902.219798700013
S2_2019_WINTER_PEAK_PUBLIC,2019,2019-01-21 18:00,2019-01-21T23:00:00Z,EST,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,24727.6,8868.85604434447
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,2019-04-21 04:00,2019-04-21T08:00:00Z,EDT,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,11951.099999999999,4286.408121757275
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,2019-07-17 16:00,2019-07-17T20:00:00Z,EDT,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,29319.7,10515.868849519022
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,2019-07-17 08:00,2019-07-17T12:00:00Z,EDT,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,False,Public sample gap exceeds policy,24338.6,8729.336438671053
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,2019-07-27 02:00,2019-07-27T06:00:00Z,EDT,0.358662225381536,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,16935.2,6074.016519281389
S1_2025_SUMMER_PEAK_PUBLIC,2025,2025-07-29 18:00,2025-07-29T22:00:00Z,EDT,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,30644.9878,10902.21979870001
S2_2025_WINTER_PEAK_PUBLIC,2025,2025-01-22 18:00,2025-01-22T23:00:00Z,EST,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,23521.3492,8367.923675282935
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,2025-04-20 13:00,2025-04-20T17:00:00Z,EDT,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,11083.224799999998,3942.9532045042274
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,2025-07-29 17:00,2025-07-29T21:00:00Z,EDT,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,30414.511600000005,10820.225894601635
S5_2025_HIGH_TOTAL_EAST_PUBLIC,2025,2025-07-17 16:00,2025-07-17T20:00:00Z,EDT,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,False,Public sample gap exceeds policy,28333.182000000004,10079.774864866184
S6_2025_LOW_TOTAL_EAST_PUBLIC,2025,2025-07-27 17:00,2025-07-27T21:00:00Z,EDT,0.355758660106238,revisited_diagnostic,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,23862.108300000004,8489.151676117943
V1_2025_JAN15_EVENING,2025,2025-01-15 18:00,2025-01-15T23:00:00Z,EST,0.355758660106238,calendar_selected_unseen_validation,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,22299.0792,7933.090537794882
V2_2025_APR15_MIDDAY,2025,2025-04-15 13:00,2025-04-15T17:00:00Z,EDT,0.355758660106238,calendar_selected_unseen_validation,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,14962.297999999999,5322.967088590244
V3_2025_JUL15_EVENING,2025,2025-07-15 18:00,2025-07-15T22:00:00Z,EDT,0.355758660106238,calendar_selected_unseen_validation,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,27829.740299999998,9900.671120232573
V4_2025_JUL25_NIGHT,2025,2025-07-25 04:00,2025-07-25T08:00:00Z,EDT,0.355758660106238,calendar_selected_unseen_validation,source_only_prediction,False,P58C_hour_beginning_P32_forward_hold_hour_mean_max_gap600s,empirical_P58B_P58C_July2025_audit_not_provider_integration_specification,False,False,True,,18909.388800000004,6727.178822915906
