device_key,source_gen_row,source_bus,source_generator_id,ny_landing_bus_name,ny_zone,source_device_role,schedule_group,raw_status,canonical_status,snapshot_active,is_external_exchange,source_pg_mw,source_qg_mvar,snapshot_pg_mw,snapshot_qg_mvar,p_injection_mw,q_injection_mvar,application_policy,reactive_policy,mapping_confidence,snapshot_kind
PERFORM2019:GEN:19:X,30,19,X,NORTHPORT,K,external_boundary_proxy,SCH - NPX_1385,1,1,1,1,129.999995,-12.677054,129.999995,-110.476803435258,129.999995,-110.476803435258,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:69:X,74,69,X,FALCONER,A,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,8,-1.972762,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:81:X,91,81,X,WESTOVER,C,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,5,1.054758,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:571:X,220,571,X,UNKNOWN129920,J,external_boundary_proxy,SCH - PJ - NY,1,1,1,1,129.999995,39.452526,129.999995,60.3460421186898,129.999995,60.3460421186898,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:580:X,229,580,X,NEWBRIDGE ROAD,K,external_boundary_proxy,SCH - PJM_NEPTUNE,1,1,1,1,150,13.597302,150,13.6085200552221,150,13.6085200552221,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:651:X,292,651,X,PLEASANT VALLEY,G,external_boundary_proxy,SCH - NE - NY,1,1,1,1,-800.37899,42.484131,-800.37899,43.4104129646257,-800.37899,43.4104129646257,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:756:X,325,756,X,SUGARLOAF,G,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,8.169051,-1.3788,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:773:X,331,773,X,RAMAPO,G,external_boundary_proxy,SCH - PJ - NY,1,1,1,1,159.621,49.418005,159.621,49.1446789736739,159.621,49.1446789736739,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:799:X,333,799,X,ALPS,F,external_boundary_proxy,SCH - NE - NY,1,1,1,1,-835.999966,57.661134,-835.999966,57.9630455374444,-835.999966,57.9630455374444,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1132:X,455,1132,X,FARRAGUT,J,external_boundary_proxy,SCH - PJ - NY,1,1,1,1,199.620998,264.11047,199.620998,264.187342323382,199.620998,264.187342323382,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1136:X,487,1136,X,WEST 49TH STREET,J,external_boundary_proxy,SCH - PJM_HTP,1,1,1,1,100,317.011642,100,317.053991153852,100,317.053991153852,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1148:X,494,1148,X,SHOREHAM POWER STATION,K,external_boundary_proxy,SCH - NPX_CSC,1,1,1,1,234.99999,364.802074,234.99999,364.803901283246,234.99999,364.803901283246,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1231:X,530,1231,X,MASSENA,E,external_boundary_proxy,SCH - HQ - NY,1,1,1,1,750,57.75519,750,57.1638695248684,750,57.1638695248684,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1313:X,559,1313,X,NIAGARA,A,external_boundary_proxy,SCH - OH - NY,1,1,1,1,200,-37.255606,200,-36.9448728621447,200,-36.9448728621447,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1320:X,560,1320,X,S. RIPLEY,A,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,8,-1.985189,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1413:X,567,1413,X,FIVE MILE,A,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,8.169051,-2.260315,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1528:X,612,1528,X,GOWANUS,J,external_boundary_proxy,SCH - PJM_VFT,1,1,1,1,149.772,-54.775769,149.772,-54.7759814615522,149.772,-54.7759814615522,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1546:X,613,1546,X,MOSES,E,external_boundary_proxy,SCH - HQ - NY,1,1,1,1,200,-27.783242,200,-27.7883332204675,200,-27.7883332204675,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1558:X,614,1558,X,WATERCURE,C,external_boundary_proxy,SCH - PJ - NY,1,0,0,1,8.169051,-4.125213,0,0,0,0,inactive_zero_injection_keep_identity,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
PERFORM2019:GEN:1570:X,615,1570,X,NIAGARA,A,external_boundary_proxy,SCH - OH - NY,1,1,1,1,525,-34.726679,525,-33.0130116293913,525,-33.0130116293913,apply_fixed_PQ_at_original_NY_bus,declared_fixed_source_snapshot_Q_not_observed_exchange,source_device_identity_with_legacy_schedule_group,reproduced_original_source_PF_fixed_PQ
