bus_row,bus_id,compact_bus_name,base_kv,compact_physical_zone,paper_allocation_zone,paper_identity_found,original_46_NPCC_NY_bus,parent_gross_pd_mw,parent_gross_qd_mvar,zone_roles_differ,zone_policy
1,37,NEW SEATHED ,345,F,F,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
2,38,GILBOA      ,345,F,E,1,1,0,0,1,separate_allocation_and_physical_roles_neither_relabelled
3,39,LEEDS       ,345,G,G,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
4,40,NEW SEATHED ,230,F,F,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
5,41,ROTTERDAM   ,115,F,F,1,1,809.143671,125,0,separate_allocation_and_physical_roles_neither_relabelled
6,42,ALBANY      ,115,F,F,1,1,204.597757,17,0,separate_allocation_and_physical_roles_neither_relabelled
7,43,EDIC        ,345,E,E,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
8,44,PORTER      ,230,E,E,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
9,45,PORTER      ,115,E,E,1,1,295.9154,17,0,separate_allocation_and_physical_roles_neither_relabelled
10,46,COLTON      ,115,D,E,1,1,26.5861492,-42.5,1,separate_allocation_and_physical_roles_neither_relabelled
11,47,MOSES W     ,230,D,E,1,1,610.325512,100,1,separate_allocation_and_physical_roles_neither_relabelled
12,48,MOSES E     ,230,D,D,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
13,49,PLATTSBURGH ,115,D,D,1,1,240.431262,17,0,separate_allocation_and_physical_roles_neither_relabelled
14,50,CLAY        ,345,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
15,51,CLAY        ,115,C,C,1,1,844.977176,75,0,separate_allocation_and_physical_roles_neither_relabelled
16,52,ROCHESTER   ,345,B,B,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
17,53,ROCHESTER   ,115,B,B,1,1,1066.91373,250,0,separate_allocation_and_physical_roles_neither_relabelled
18,54,NIAGARA W   ,230,A,A,1,1,20,0,0,separate_allocation_and_physical_roles_neither_relabelled
19,55,NIAGARA E   ,230,A,A,1,1,939,132,0,separate_allocation_and_physical_roles_neither_relabelled
20,56,HUNTLEY     ,230,A,A,1,1,198.818159,44,0,separate_allocation_and_physical_roles_neither_relabelled
21,57,HUNTLEY     ,115,A,A,1,1,277.420687,-6,0,separate_allocation_and_physical_roles_neither_relabelled
22,58,GARDENVILLE ,230,A,A,1,1,97.0972405,38,0,separate_allocation_and_physical_roles_neither_relabelled
23,59,GARDENVILLE ,115,A,A,1,1,814.923268,198,0,separate_allocation_and_physical_roles_neither_relabelled
24,60,DUNKIRK     ,230,A,A,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
25,61,DUNKIRK     ,115,A,A,1,1,273.952928,8,0,separate_allocation_and_physical_roles_neither_relabelled
26,62,STOLLE RD   ,230,A,B,1,1,0,0,1,separate_allocation_and_physical_roles_neither_relabelled
27,63,MEYER       ,230,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
28,64,MEYER       ,115,C,C,1,1,165.296493,25,0,separate_allocation_and_physical_roles_neither_relabelled
29,65,GESONIDGE   ,115,C,C,1,1,105.188677,0,0,separate_allocation_and_physical_roles_neither_relabelled
30,66,WATERCURE   ,345,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
31,67,WRHL        ,230,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
32,68,HILLSIDE    ,115,C,C,1,1,243.899021,41,0,separate_allocation_and_physical_roles_neither_relabelled
33,69,BINGHAMTON  ,345,C,E,1,1,0,0,1,separate_allocation_and_physical_roles_neither_relabelled
34,70,BINGHAMTON  ,230,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
35,71,BINGHAMTON  ,115,C,C,1,1,428.846145,53,0,separate_allocation_and_physical_roles_neither_relabelled
36,72,LAPEER      ,115,C,C,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
37,73,PLEASANT VLY,345,G,G,1,1,0,0,0,separate_allocation_and_physical_roles_neither_relabelled
38,74,MILLWOOD    ,345,H,H,1,1,117.903792,0,0,separate_allocation_and_physical_roles_neither_relabelled
