scenario_id,nyiso_zone_letter,nyiso_zone_name,target_load_mw,target_load_share,source,status,note,timestamp,nyiso_load_mw
S0_NPCC_BASE,A,WEST,2621.2122825,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,B,GENESE,1066.91373,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,C,CENTRL,1788.207512,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,D,NORTH,877.3429232,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,E,MHK VL,295.9154,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,F,CAPITL,1013.741428,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,G,HUD VL,0,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,H,MILLWD,117.903792,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,I,DUNWOD,2311.83906,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,J,N.Y.C.,0,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S0_NPCC_BASE,K,LONGIL,809.143671,NaN,npcc_original.m embedded bus Pd,ready,"MW targets only; shares intentionally blank to avoid mixed-target ambiguity",,NaN
S1_PERFORM_COMPATIBLE_PEAK,A,WEST,NaN,NaN,Populate from matched NYISO/Perform scenario,template,"Use either all MW targets or all shares, never both",,NaN
S1_PERFORM_COMPATIBLE_PEAK,B,GENESE,NaN,NaN,Populate from matched NYISO/Perform scenario,template,"Use either all MW targets or all shares, never both",,NaN
S1_PERFORM_COMPATIBLE_PEAK,C,CENTRL,NaN,NaN,Populate from matched NYISO/Perform scenario,template,"Use either all MW targets or all shares, never both",,NaN
