ny_branch_row,full_branch_row,branch_key,source_branch_row,source_device_key,source_from_bus,source_to_bus,from_bus,to_bus,electrical_role,source_device_role,r_pu,x_pu,b_pu,tap,shift_degree,status,online,base_mva,from_base_kv,to_base_kv,from_vm_pu,to_vm_pu,from_solved_line_line_kv,to_solved_line_line_kv,rate_a_mva,rate_b_mva,rate_c_mva,from_apparent_power_mva,to_apparent_power_mva,from_terminal_rms_amp,to_terminal_rms_amp,power_flow_audit_passed,thermal_eligible,dlr_eligible,current_interpretation,rate_a_applies_both_terminals,from_loading_percent,to_loading_percent,current_formula,rating_interpretation
1,33,NPCC_S7:BRANCH_ROW:33,NaN,,NaN,NaN,37,38,inherited_NPCC_or_S7_equivalent,,0.0016,0.0163,0.25,0,0,1,1,100,345,345,1.04463314655803,1.0539597131169,360.39843556252,363.616101025329,2500,0,0,195.954437515147,191.798303723158,313.914645804965,304.537675786158,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,7.83817750060589,7.67193214892631,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
2,34,NPCC_S7:BRANCH_ROW:34,NaN,,NaN,NaN,37,39,inherited_NPCC_or_S7_equivalent,,0.0008,0.0074,0.48,0,0,1,1,100,345,345,1.04463314655803,1.0569798013766,360.39843556252,364.658031474927,3388,3388,3388,1380.22270635422,1395.5675152824,2211.0860437323,2209.55309104714,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,40.7385686645283,41.1914851027862,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
3,35,NPCC_S7:BRANCH_ROW:35,NaN,,NaN,NaN,37,40,inherited_transformer_or_machine_connection_equivalent,,0.0009,0.0315,0.06,0,0,1,1,100,345,230,1.04463314655803,1.06299879490893,360.39843556252,244.489722829054,2500,0,0,460.543454051672,467.561559530673,737.780358994169,1104.12327002596,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,18.4217381620669,18.7024623812269,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
4,36,NPCC_S7:BRANCH_ROW:36,NaN,,NaN,NaN,37,43,inherited_NPCC_or_S7_equivalent,,0.0013,0.0188,1.31,0,0,1,1,100,345,345,1.04463314655803,1.04941946173615,360.39843556252,362.049714298971,3745.98196383403,3745.98196383403,3745.98196383403,1464.87141917876,1459.08969045393,2346.69139690074,2326.76837540535,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,39.1051380738487,38.9507932643794,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
5,37,NPCC_S7:BRANCH_ROW:37,NaN,,NaN,NaN,38,69,inherited_NPCC_or_S7_equivalent,,0.0043,0.0485,0.79,0,0,1,1,100,345,345,1.0539597131169,1.04535656716838,363.616101025329,360.648015673092,1216,1216,1216,440.171832103321,432.565061671272,698.905590368344,692.480046872942,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,36.1983414558652,35.5727846769138,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
6,38,NPCC_S7:BRANCH_ROW:38,NaN,,NaN,NaN,39,73,inherited_NPCC_or_S7_equivalent,,0.0019,0.0183,0.29,0,0,1,1,100,345,345,1.0569798013766,1.07330656808967,364.658031474927,370.290765990936,2500,0,0,619.405943316006,627.363620341244,980.683701562019,978.173339306715,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,24.7762377326402,25.0945448136497,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
7,39,NPCC_S7:BRANCH_ROW:39,NaN,,NaN,NaN,39,73,inherited_NPCC_or_S7_equivalent,,0.0019,0.0183,0.29,0,0,1,1,100,345,345,1.0569798013766,1.07330656808967,364.658031474927,370.290765990936,2500,0,0,619.405943316006,627.363620341244,980.683701562019,978.173339306715,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,24.7762377326402,25.0945448136497,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
8,40,NPCC_S7:BRANCH_ROW:40,NaN,,NaN,NaN,40,44,inherited_NPCC_or_S7_equivalent,,0.008,0.053,0.4,0,0,1,1,100,230,230,1.06299879490893,1.05582633622859,244.489722829054,242.840057332576,1328.76341358641,1328.76341358641,1328.76341358641,297.998026473834,291.434012580895,703.707455723777,692.882004158631,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,22.4267182123505,21.9327240350709,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
9,41,NPCC_S7:BRANCH_ROW:41,NaN,,NaN,NaN,41,42,inherited_NPCC_or_S7_equivalent,,0.0018,0.0089,0.07,0,0,1,1,100,115,115,1.07384089005221,1.09999999415948,123.491702356004,126.49999932834,2500,0,0,657.159609515483,670.763006278887,3072.36251679922,3061.38501417998,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,26.2863843806193,26.8305202511555,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
10,42,NPCC_S7:BRANCH_ROW:42,NaN,,NaN,NaN,41,45,inherited_NPCC_or_S7_equivalent,,0.0776,0.2241,0.13,0,0,1,1,100,115,115,1.07384089005221,1.05663175113372,123.491702356004,121.512651380378,314.254622579561,314.254622579561,314.254622579561,88.3458035857261,83.3971837245695,413.035633235911,396.249986532779,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,28.1128095620484,26.5380929133207,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
11,43,NPCC_S7:BRANCH_ROW:43,NaN,,NaN,NaN,43,44,inherited_transformer_or_machine_connection_equivalent,,0,0.011,0,0,0,1,1,100,345,230,1.04941946173615,1.05582633622859,362.049714298971,242.840057332576,2500,0,0,195.705896081048,196.900712033431,312.08656524746,468.129847871191,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,7.82823584324193,7.87602848133723,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
12,44,NPCC_S7:BRANCH_ROW:44,NaN,,NaN,NaN,43,50,inherited_NPCC_or_S7_equivalent,,0.0025,0.0268,0.4,0,0,1,1,100,345,345,1.04941946173615,1.06623455185936,362.049714298971,367.85092039148,3463.47124449306,3463.47124449306,3463.47124449306,737.778505791256,741.431040731522,1176.51416945784,1163.69264618484,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,21.3017072673644,21.407166059496,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
13,45,NPCC_S7:BRANCH_ROW:45,NaN,,NaN,NaN,43,50,inherited_NPCC_or_S7_equivalent,,0.0025,0.0268,0.4,0,0,1,1,100,345,345,1.04941946173615,1.06623455185936,362.049714298971,367.85092039148,3463.47124449306,3463.47124449306,3463.47124449306,737.778505791256,741.431040731522,1176.51416945784,1163.69264618484,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,21.3017072673644,21.407166059496,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
14,46,NPCC_S7:BRANCH_ROW:46,NaN,,NaN,NaN,44,45,inherited_transformer_or_machine_connection_equivalent,,0,0.0205,0,0,0,1,1,100,230,115,1.05582633622859,1.05663175113372,242.840057332576,121.512651380378,2500,0,0,332.841476590512,333.095377707667,791.32791442158,1582.65582884316,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,13.3136590636205,13.3238151083067,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
15,47,NPCC_S7:BRANCH_ROW:47,NaN,,NaN,NaN,44,48,inherited_NPCC_or_S7_equivalent,,0.015,0.105,0.79,0,0,1,1,100,230,230,1.05582633622859,1.09999999286668,242.840057332576,252.999998359336,6896.14528055676,6896.14528055676,6896.14528055676,220.079759630177,196.903150643015,523.237845771277,449.33631527763,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,3.19134459435879,2.85526395736139,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
16,48,NPCC_S7:BRANCH_ROW:48,NaN,,NaN,NaN,45,46,inherited_NPCC_or_S7_equivalent,,0.1235,0.3548,0.16,0,0,1,1,100,115,115,1.05663175113372,1.09534417572693,121.512651380378,125.964580208597,2040.85471944324,2040.85471944324,2040.85471944324,41.8227721420336,32.2581581566728,198.715018396502,147.853120809634,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.04927728287505,1.58062001421998,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
17,49,NPCC_S7:BRANCH_ROW:49,NaN,,NaN,NaN,45,51,inherited_NPCC_or_S7_equivalent,,0.0605,0.1896,0.08,0,0,1,1,100,115,115,1.05663175113372,1.03491687293431,121.512651380378,119.015440387445,489.56239109923,489.56239109923,489.56239109923,93.9100813907523,90.3876030790592,446.200540887268,438.47509868648,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,19.1824541872779,18.4629384777922,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
18,50,NPCC_S7:BRANCH_ROW:50,NaN,,NaN,NaN,45,71,inherited_NPCC_or_S7_equivalent,,0.1751,0.5575,0.12,0,0,1,1,100,115,115,1.05663175113372,1.07945318975791,121.512651380378,124.13711682216,166.495119914644,166.495119914644,166.495119914644,10.75148061183,6.98747374251499,51.0841476579736,32.4980952471769,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,6.4575349820114,4.19680393401152,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
19,51,NPCC_S7:BRANCH_ROW:51,NaN,,NaN,NaN,46,47,inherited_transformer_or_machine_connection_equivalent,,0.0632,0.121,0.05,0,0,1,1,100,115,230,1.09534417572693,1.09999976716196,125.964580208597,252.999946447251,2500,0,0,56.7542552697283,59.4401096232111,260.129351468262,135.643361880224,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.27017021078913,2.37760438492844,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
20,52,NPCC_S7:BRANCH_ROW:52,NaN,,NaN,NaN,46,49,inherited_NPCC_or_S7_equivalent,,0.164,0.578,0.06,0,0,1,1,100,115,115,1.09534417572693,1.00232405687263,125.964580208597,115.267266540352,2500,0,0,54.7560777476061,50.3311233340153,250.970837794216,252.098349147,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,2.19024310990424,2.01324493336061,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
21,53,NPCC_S7:BRANCH_ROW:53,NaN,,NaN,NaN,47,48,inherited_NPCC_or_S7_equivalent,,0,0.033,0,0,0,1,1,100,230,230,1.09999976716196,1.09999999286668,252.999946447251,252.999998359336,2500,0,0,280.8032307199,280.803288336834,640.79784648987,640.79784648987,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,11.232129228796,11.2321315334734,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
22,54,NPCC_S7:BRANCH_ROW:54,NaN,,NaN,NaN,50,51,inherited_transformer_or_machine_connection_equivalent,,0,0.0207,0,0,0,1,1,100,345,115,1.06623455185936,1.03491687293431,367.85092039148,119.015440387445,2500,0,0,406.181778368224,394.251316634488,637.511410413876,1912.53423124163,1,0,0,equivalent_terminal_RMS_current_not_a_physical_conductor_current,1,16.247271134729,15.7700526653795,I_RMS_A=abs(S_3phase_MVA)*1000/(sqrt(3)*VM_pu*base_kV),static_MATPOWER_MVA_limit_at_each_terminal_not_verified_conductor_ampacity
