model_gen_row,full_gen_row,generator_key,model_bus,record_role,online,pg_prior_mw,qg_prior_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,capability_provenance
1,10,NPCC_S7:GEN_ROW:10:BUS:42,42,original_NPCC_aggregate_generator,1,568.003988745583,220.243046026159,0,568.003995,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
2,11,NPCC_S7:GEN_ROW:11:BUS:47,47,original_NPCC_aggregate_generator,1,944.920659808782,85.9048252365901,0,944.920662,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
3,12,NPCC_S7:GEN_ROW:12:BUS:48,48,original_NPCC_aggregate_generator,1,40.0600435401039,238.153052865625,0,40.0600457,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
4,13,NPCC_S7:GEN_ROW:13:BUS:50,50,original_NPCC_aggregate_generator,1,1105.24857515988,999,0,1105.24857748821,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
5,14,NPCC_S7:GEN_ROW:14:BUS:51,51,original_NPCC_aggregate_generator,1,106.384088827302,-43.296369540701,0,292.878562141814,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
6,15,NPCC_S7:GEN_ROW:15:BUS:53,53,original_NPCC_aggregate_generator,1,288.799998951009,611.056035387877,0,288.8,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
7,16,NPCC_S7:GEN_ROW:16:BUS:54,54,original_NPCC_aggregate_generator,1,197.192649677544,78.4032945337267,0,197.192650893643,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
8,17,NPCC_S7:GEN_ROW:17:BUS:54,54,original_NPCC_aggregate_generator,1,197.192649677544,784.739281324057,0,197.192650893643,-9999,9999,inherited_benchmark_envelope_not_verified_plant_capability
9,18,NPCC_S7:GEN_ROW:18:BUS:55,55,original_NPCC_aggregate_generator,1,197.192649709742,300.701601214449,0,197.192650893643,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
10,19,NPCC_S7:GEN_ROW:19:BUS:56,56,original_NPCC_aggregate_generator,1,495.093850231121,244.373961991396,0,495.093851384339,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
11,20,NPCC_S7:GEN_ROW:20:BUS:57,57,original_NPCC_aggregate_generator,1,14.3166974102318,78.5004225888884,0,14.3166985641929,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
12,21,NPCC_S7:GEN_ROW:21:BUS:60,60,original_NPCC_aggregate_generator,1,59.5351266983369,218.133826018225,0,59.5351288283759,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
13,22,NPCC_S7:GEN_ROW:22:BUS:61,61,original_NPCC_aggregate_generator,1,128.150994286051,-46.559563264743,0,132.276368542162,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
14,23,NPCC_S7:GEN_ROW:23:BUS:65,65,original_NPCC_aggregate_generator,1,7.48183097095333,220.168805298993,0,7.481832143219,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
15,24,NPCC_S7:GEN_ROW:24:BUS:68,68,original_NPCC_aggregate_generator,1,122.728857614375,287.268304137772,0,271.054008885173,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
16,25,NPCC_S7:GEN_ROW:25:BUS:71,71,original_NPCC_aggregate_generator,1,643.677755153356,165.853991232011,0,643.677757785503,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
17,26,NPCC_S7:GEN_ROW:26:BUS:72,72,original_NPCC_aggregate_generator,1,53.6201467090991,31.711424979116,0,190.859261556085,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
18,27,NPCC_S7:GEN_ROW:27:BUS:78,78,original_NPCC_aggregate_generator,1,565.099168569347,998.999831501725,0,565.099092,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
19,28,NPCC_S7:GEN_ROW:28:BUS:79,79,original_NPCC_aggregate_generator,1,577.45347845853,31.7558155525053,0,577.453484,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
20,29,NPCC_S7:GEN_ROW:29:BUS:80,80,original_NPCC_aggregate_generator,1,584.929336241426,0.979972647403731,0,584.929342,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
21,30,NPCC_S7:GEN_ROW:30:BUS:82,82,original_NPCC_aggregate_generator,1,619.623970456259,17.4632159731717,0,619.623976,-999,999,inherited_benchmark_envelope_not_verified_plant_capability
22,49,NPCC_S7:GEN_ROW:49:BUS:79,79,S4_added_active_capacity_equivalent,1,936.033705105116,0,0,1200,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
23,50,NPCC_S7:GEN_ROW:50:BUS:82,82,S4_added_active_capacity_equivalent,1,526.299346827288,0,0,900,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
24,51,NPCC_S7:GEN_ROW:51:BUS:81,81,S4_added_active_capacity_equivalent,1,499.13765780489,0,0,900,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
25,52,NPCC_S7:GEN_ROW:52:BUS:43,43,S4_added_active_capacity_equivalent,1,211.723346750588,0,0,400,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
26,53,NPCC_S7:GEN_ROW:53:BUS:44,44,S4_added_active_capacity_equivalent,1,53.558789176773,0,0,200,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
27,54,NPCC_S7:GEN_ROW:54:BUS:38,38,S4_added_active_capacity_equivalent,1,265.096889712069,0,0,500,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
28,55,NPCC_S7:GEN_ROW:55:BUS:42,42,S4_added_active_capacity_equivalent,1,275.823988780871,0,0,500,-0,0,inherited_benchmark_envelope_not_verified_plant_capability
