model_bus,zone,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,gs_mw,bs_mvar
37,F,0,0,260.398687091408,-99.8887507828816,-260.398687091408,99.8887507828816,0,0
38,F,0,0,0,0,0,0,0,0
39,G,0,0,0,0,0,0,0,0
40,F,0,0,0,0,0,0,0,0
41,F,809.143671,125,0,0,809.143671,125,0,0
42,F,204.597757,17,0,0,204.597757,17,0,0
43,E,0,0,0,0,0,0,0,0
44,E,0,0,0,0,0,0,0,0
45,E,295.9154,17,0,0,295.9154,17,0,0
46,D,26.5861492,-42.5,0,0,26.5861492,-42.5,0,0
47,D,610.325512,100,0,0,610.325512,100,0,0
48,D,0,0,-316.518938047611,-107.210736688098,316.518938047611,107.210736688098,0,0
49,D,240.431262,17,0,0,240.431262,17,0,0
50,C,0,0,0,0,0,0,0,0
51,C,844.977176,75,0,0,844.977176,75,0,0
52,B,0,0,0,0,0,0,0,0
53,B,1066.91373,250,0,0,1066.91373,250,0,0
54,A,20,0,-524.075665340681,-55.7791332046971,544.075665340681,55.7791332046971,0,0
55,A,939,132,0,0,939,132,0,0
56,A,198.818159,44,0,0,198.818159,44,0,0
57,A,277.420687,-6,0,0,277.420687,-6,0,0
58,A,97.0972405,38,0,0,97.0972405,38,0,0
59,A,814.923268,198,0,0,814.923268,198,0,0
60,A,0,0,-0.000578077416993729,8.45386399986513,0.000578077416993729,-8.45386399986513,0,0
61,A,273.952928,8,0,0,273.952928,8,0,0
62,A,0,0,0,0,0,0,0,0
63,C,0,0,0,0,0,0,0,0
64,C,165.296493,25,0,0,165.296493,25,0,0
65,C,105.188677,0,0,0,105.188677,0,0,0
66,C,0,0,769.360918182763,36.3087476040885,-769.360918182763,-36.3087476040885,0,0
67,C,0,0,44.8737055888326,-56.9265725213444,-44.8737055888326,56.9265725213444,0,0
68,C,243.899021,41,0,0,243.899021,41,0,0
69,C,0,0,0,0,0,0,0,0
70,C,0,0,0,0,0,0,0,0
71,C,428.846145,53,0,0,428.846145,53,0,0
72,C,0,0,0,0,0,0,0,0
73,G,0,0,217.79253847785,-312.974420488531,-217.79253847785,312.974420488531,0,0
74,H,117.903792,0,0,0,117.903792,0,0,0
75,G,0,0,-713.19467799278,68.8829684888394,713.19467799278,-68.8829684888394,0,0
76,G,0,0,0,0,0,0,0,0
77,H,0,0,0,0,0,0,0,0
78,I,2311.83906,600,0,0,2311.83906,600,0,0
79,J,0,0,0,0,0,0,0,0
80,K,809.143671,25,0,0,809.143671,25,0,0
81,J,0,0,-1163.08189891107,-83.3608549063347,1163.08189891107,83.3608549063347,0,0
82,J,0,0,0,0,0,0,0,0
9001,G,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0
