bus_id,boundary_group,candidate_gen_row,reference_p_mw,reference_q_mvar,p_min_mw,p_max_mw,q_min_mvar,q_max_mvar,evidence_class
29,ISONE,36,-247.009073794029,-367.41386101751,-247.009073794029,-247.009073794029,-367.41386101751,-367.41386101751,reconstructed_from_solved_npcc_state
35,ISONE,37,458.178906764513,-482.787273977461,458.178906764513,458.178906764513,-482.787273977461,-482.787273977461,reconstructed_from_solved_npcc_state
100,HQ,38,-147.644864960135,-22.6769485002498,-147.644864960135,-147.644864960135,-22.6769485002498,-22.6769485002498,reconstructed_from_solved_npcc_state
102,ONTARIO,39,-383.857059376681,-1.08975344062232,-383.857059376681,-383.857059376681,-1.08975344062232,-1.08975344062232,reconstructed_from_solved_npcc_state
103,ONTARIO,40,-533.188876093339,4.11848693514359,-533.188876093339,-533.188876093339,4.11848693514359,4.11848693514359,reconstructed_from_solved_npcc_state
124,PJM,41,-2074.71719540288,-817.133915805043,-2074.71719540288,-2074.71719540288,-817.133915805043,-817.133915805043,reconstructed_from_solved_npcc_state
125,PJM,42,-628.161576678884,-137.240248951566,-628.161576678884,-628.161576678884,-137.240248951566,-137.240248951566,reconstructed_from_solved_npcc_state
134,PJM,43,2744.35627411233,420.98356305381,2744.35627411233,2744.35627411233,420.98356305381,420.98356305381,reconstructed_from_solved_npcc_state
138,PJM,44,-160.973259618679,-66.8013005245566,-160.973259618679,-160.973259618679,-66.8013005245566,-66.8013005245566,reconstructed_from_solved_npcc_state
140,PJM,45,0,0,0,0,0,0,reconstructed_from_solved_npcc_state
