bus_id,normalized_name,zone,base_kv,retention_reason,boundary_group,electrical_class,source_row,confidence
29,NORTHFIELD,,345,first_external_tie_terminal,ISONE,external_boundary_terminal,29,registered
35,SOUTHINGTEN,,345,first_external_tie_terminal,ISONE,external_boundary_terminal,35,registered
37,NEW SEATHED,F,345,registered_nyiso_zone,,npcc_equivalent_terminal,37,registered
38,GILBOA,F,345,registered_nyiso_zone,,npcc_equivalent_terminal,38,registered
39,LEEDS,G,345,registered_nyiso_zone,,npcc_equivalent_terminal,39,registered
40,NEW SEATHED,F,230,registered_nyiso_zone,,npcc_equivalent_terminal,40,registered
41,ROTTERDAM,F,115,registered_nyiso_zone,,npcc_equivalent_terminal,41,registered
42,ALBANY,F,115,registered_nyiso_zone,,npcc_equivalent_terminal,42,registered
43,EDIC,E,345,registered_nyiso_overlay,,source_backed_overlay_terminal,43,registered
44,PORTER,E,230,registered_nyiso_zone,,npcc_equivalent_terminal,44,registered
45,PORTER,E,115,registered_nyiso_zone,,npcc_equivalent_terminal,45,registered
46,COLTON,D,115,registered_nyiso_zone,,npcc_equivalent_terminal,46,registered
47,MOSES W,D,230,registered_nyiso_zone,,npcc_equivalent_terminal,47,registered
48,MOSES E,D,230,registered_nyiso_zone,,npcc_equivalent_terminal,48,registered
49,PLATTSBURGH,D,115,registered_nyiso_zone,,npcc_equivalent_terminal,49,registered
50,CLAY,C,345,registered_nyiso_zone,,npcc_equivalent_terminal,50,registered
51,CLAY,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,51,registered
52,ROCHESTER,B,345,registered_nyiso_zone,,npcc_equivalent_terminal,52,registered
53,ROCHESTER,B,115,registered_nyiso_zone,,npcc_equivalent_terminal,53,registered
54,NIAGARA W,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,54,registered
55,NIAGARA E,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,55,registered
56,HUNTLEY,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,56,registered
57,HUNTLEY,A,115,registered_nyiso_zone,,npcc_equivalent_terminal,57,registered
58,GARDENVILLE,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,58,registered
59,GARDENVILLE,A,115,registered_nyiso_zone,,npcc_equivalent_terminal,59,registered
60,DUNKIRK,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,60,registered
61,DUNKIRK,A,115,registered_nyiso_zone,,npcc_equivalent_terminal,61,registered
62,STOLLE RD,A,230,registered_nyiso_zone,,npcc_equivalent_terminal,62,registered
63,MEYER,C,230,registered_nyiso_zone,,npcc_equivalent_terminal,63,registered
64,MEYER,C,115,registered_nyiso_zone,,npcc_equivalent_terminal,64,registered
