device_key,source_bus,source_device_role,raw_switched_status,raw_mode,raw_binit_mvar,canonical_bs_mvar,raw_QS_gen_row,raw_QS_status,raw_blocks_count_times_mvar,raw_voltage_upper_pu,raw_voltage_lower_pu,raw_remote_bus,already_in_canonical_bus_BS,add_as_generator,recommended_treatment
PERFORM2019:SWITCHED_SHUNT:240,240,switched_shunt_frozen_as_bus_susceptance,0,2,43.25,43.25,127,1,1x50,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:485,485,switched_shunt_frozen_as_bus_susceptance,0,2,40.31,40.31,171,1,1x100,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:489,489,switched_shunt_frozen_as_bus_susceptance,0,2,15.12,15.12,172,1,1x100,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:512,512,switched_shunt_frozen_as_bus_susceptance,0,2,30.06,30.06,176,1,1x100;1x1.9e-37,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:539,539,switched_shunt_frozen_as_bus_susceptance,0,2,1.47,1.47,180,1,1x30,1.02,1.02,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:570,570,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,223,1,1x300,1,1,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:580,580,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,236,1,1x500,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:587,587,switched_shunt_frozen_as_bus_susceptance,0,2,31.13,31.13,238,1,1x50,1.01,1.01,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:589,589,switched_shunt_frozen_as_bus_susceptance,0,2,500,500,241,1,1x500,1.02,1.02,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
PERFORM2019:SWITCHED_SHUNT:608,608,switched_shunt_frozen_as_bus_susceptance,0,2,0,0,278,1,1x200,1.0075,1.0075,0,1,0,retain_canonical_BS_once_do_not_add_QS_generator_or_enable_switching
