bus_id,compact_bus_name,base_kv,original_NPCC_NY_bus,nygrid_equivalent_zone,compact_declared_physical_zone,zone_role_differs,nygrid_zone_basis,nygrid_raw_load_weight,nygrid_generator_role_present,compact_generator_record_present,source_generation_role_missing_in_compact,recommended_literal_injection_bus,claim_boundary,note
37,NEW SEATHED ,345,True,F,F,False,released_npcc.csv_and_npcc_new.csv,0,False,True,False,37,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
38,GILBOA      ,345,True,E,F,True,released_npcc.csv_and_npcc_new.csv,0,False,True,False,38,role_identity_not_geographic_validation,Equivalent role E in paper vs F in compact changes37-38 from CentralEast member to intrazone;38-69 reverses from E-internal to C-F crossing.
39,LEEDS       ,345,True,G,G,False,released_npcc.csv_and_npcc_new.csv,1,True,True,False,39,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
40,NEW SEATHED ,230,True,F,F,False,released_npcc.csv_and_npcc_new.csv,0,False,False,False,40,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
41,ROTTERDAM   ,115,True,F,F,False,released_npcc.csv_and_npcc_new.csv,7,False,True,False,41,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
42,ALBANY      ,115,True,F,F,False,released_npcc.csv_and_npcc_new.csv,1.77,True,True,False,42,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
43,EDIC        ,345,True,E,E,False,released_npcc.csv_and_npcc_new.csv,0,False,True,False,43,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
44,PORTER      ,230,True,E,E,False,released_npcc.csv_and_npcc_new.csv,0,False,True,False,44,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
45,PORTER      ,115,True,E,E,False,released_npcc.csv_and_npcc_new.csv,2.56,True,False,True,45,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
46,COLTON      ,115,True,E,D,True,released_npcc.csv_and_npcc_new.csv,0.23,False,False,False,46,role_identity_not_geographic_validation,"Paper E; compact D. Paper MosesSouth includes46-49, compact northern partition includes45-46 instead."
47,MOSES W     ,230,True,E,D,True,released_npcc.csv_and_npcc_new.csv,5.28,True,True,False,47,role_identity_not_geographic_validation,Paper E; compact D. Paper MosesSouth includes47-48; compact treats it as D-internal.
48,MOSES E     ,230,True,D,D,False,released_npcc.csv_and_npcc_new.csv,0,True,True,False,48,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
49,PLATTSBURGH ,115,True,D,D,False,released_npcc.csv_and_npcc_new.csv,2.08,True,False,True,49,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
50,CLAY        ,345,True,C,C,False,released_npcc.csv_and_npcc_new.csv,0,True,True,False,50,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
51,CLAY        ,115,True,C,C,False,released_npcc.csv_and_npcc_new.csv,7.31,True,True,False,51,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
52,ROCHESTER   ,345,True,B,B,False,released_npcc.csv_and_npcc_new.csv,1.95,False,False,False,52,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
53,ROCHESTER   ,115,True,B,B,False,released_npcc.csv_and_npcc_new.csv,7.28,True,True,False,53,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
54,NIAGARA W   ,230,True,A,A,False,released_npcc.csv_and_npcc_new.csv,0.2,False,True,False,54,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
55,NIAGARA E   ,230,True,A,A,False,released_npcc.csv_and_npcc_new.csv,9.39,True,True,False,55,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
56,HUNTLEY     ,230,True,A,A,False,released_npcc.csv_and_npcc_new.csv,1.72,True,True,False,56,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
57,HUNTLEY     ,115,True,A,A,False,released_npcc.csv_and_npcc_new.csv,2.4,True,True,False,57,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
58,GARDENVILLE ,230,True,A,A,False,released_npcc.csv_and_npcc_new.csv,0.84,False,False,False,58,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
59,GARDENVILLE ,115,True,A,A,False,released_npcc.csv_and_npcc_new.csv,7.05,False,False,False,59,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
60,DUNKIRK     ,230,True,A,A,False,released_npcc.csv_and_npcc_new.csv,0,True,True,False,60,role_identity_not_geographic_validation,Same original ID retained; transfer original bus-level P exactly. Added terminals remain zero-injection unless separately justified.
