scenario_id,timestamp,zone,available_pmax_mw,source,confidence,note
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,A,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,B,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,C,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,D,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,E,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,F,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,G,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,H,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,I,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,J,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,K,NaN,REQUIRED_INPUT,unknown,Populate from independent unit availability or commitment data
