scenario_id,variant,opf_success,opf_raw_info,bound_type,bus_number,bus_name,nyiso_zone_letter,nyiso_zone_name,vm_pu,vmin_pu,vmax_pu,pd_mw,qd_mvar,note
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,21,MILLSTONE PT,NON_NY,NON_NY,1.09999422418001,0.9,1.1,0,0,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,27,VERMONT YNK,NON_NY,NON_NY,1.09999290107801,0.9,1.1,0,0,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,36,CONN YANKEE,NON_NY,NON_NY,1.09999496799308,0.9,1.1,11.1796635,5,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,42,ALBANY,F,CAPITL,1.09999354542802,0.9,1.1,158.598104895156,13.1778951184575,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,50,CLAY,C,CENTRL,1.09999475227403,0.9,1.1,0,0,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,79,RAV A-3,J,N.Y.C.,1.09999962738712,0.9,1.1,1637.7729494693,410.464592464067,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,82,AK-3,J,N.Y.C.,1.09999826517134,0.9,1.1,1637.7729494693,410.464592464067,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,131,CONASTONE,NON_NY,NON_NY,1.09999971601991,0.9,1.1,1160,-432,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,upper,134,HOMER CITY,NON_NY,NON_NY,1.09999667037332,0.9,1.1,0,0,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,lower,100,PHAS,NON_NY,NON_NY,0.900001156507644,0.9,1.1,0,0,
S1_2025_SUMMER_PEAK_PUBLIC,gilboa_leeds,0,0,lower,139,KYGER,NON_NY,NON_NY,0.900004143059096,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,21,MILLSTONE PT,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,22,BRAYTON PT,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,23,BRAYTON PT,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,24,PILGRIM,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,25,CANAL,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,26,MAINE YANKEE,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,27,VERMONT YNK,NON_NY,NON_NY,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,36,CONN YANKEE,NON_NY,NON_NY,1.1,0.9,1.1,11.1796635,5,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,42,ALBANY,F,CAPITL,1.1,0.9,1.1,175.797461727359,14.6069873550232,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,47,MOSES W,D,NORTH,1.1,0.9,1.1,179.236270911183,29.3673240569343,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,48,MOSES E,D,NORTH,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,50,CLAY,C,CENTRL,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,51,CLAY,C,CENTRL,1.1,0.9,1.1,534.620149147244,47.452774258181,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,52,ROCHESTER,B,GENESE,1.1,0.9,1.1,0,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,55,NIAGARA E,A,WEST,1.1,0.9,1.1,333.413419965842,46.8696181421631,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,56,HUNTLEY,A,WEST,1.1,0.9,1.1,70.5949332731657,15.6232060473877,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,57,HUNTLEY,A,WEST,1.1,0.9,1.1,98.5045580638376,-2.13043718828014,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,61,DUNKIRK,A,WEST,1.1,0.9,1.1,97.2732509415721,2.84058291770686,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,65,GESONIDGE,C,CENTRL,1.1,0.9,1.1,66.5532605893029,0,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,68,HILLSIDE,C,CENTRL,1.1,0.9,1.1,154.315802470725,25.9408499278056,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,71,BINGHAMTON,C,CENTRL,1.1,0.9,1.1,271.332524135682,33.5332938091146,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,79,RAV A-3,J,N.Y.C.,1.1,0.9,1.1,1556.79974674031,390.170794920618,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,80,NORTHPORT,K,LONGIL,1.1,0.9,1.1,1471.97889003126,45.4795280117584,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,82,AK-3,J,N.Y.C.,1.1,0.9,1.1,1556.79974674031,390.170794920618,
S2_2025_WINTER_PEAK_PUBLIC,original_topology,0,0,upper,86,LAMBTON,NON_NY,NON_NY,1.1,0.9,1.1,50,25,
