scenario_id,source_branch,ny_boundary_bus,ny_boundary_bus_name,nyiso_zone_letter,nyiso_zone_name,external_bus,external_bus_name,ny_side,p_import_mw,q_import_mvar,ny_vm_pu,source_branch_rate_a_mva
S1_MEASURED_BOUNDARY,25,37,NEW SEATHED,F,CAPITL,29,NORTHFIELD,to,-160.397385432399,-22.7794134526646,1.02100313017607,1206.77007
S1_MEASURED_BOUNDARY,32,73,PLEASANT VLY,G,HUD VL,35,SOUTHINGTEN,to,364.513136317427,-138.75823099816,0.977954429033629,1206.77007
S1_MEASURED_BOUNDARY,63,54,NIAGARA W,A,WEST,102,BP 76,from,-571.504211498121,-201.710302617865,1.05172033,2500
S1_MEASURED_BOUNDARY,64,54,NIAGARA W,A,WEST,103,PA 27,from,-658.42533681712,-229.662672865184,1.05172033,2500
S1_MEASURED_BOUNDARY,72,60,DUNKIRK,A,WEST,140,TE,from,-0.000578077488886525,8.45386505450354,1.09860245,773.970762
S1_MEASURED_BOUNDARY,80,66,WATERCURE,C,CENTRL,134,HOMER CITY,from,769.214144581003,39.4711808335416,1.07348881832795,773.970762
S1_MEASURED_BOUNDARY,83,67,WRHL,C,CENTRL,138,E TOMANO,from,-259.478733641322,-138.974834481738,1.06437503918805,2500
S1_MEASURED_BOUNDARY,93,75,RAMAPO,G,HUD VL,124,BRANCHBURG,from,-189.800915448574,-48.5528587156925,0.968782603442104,2500
S1_MEASURED_BOUNDARY,99,81,GOETHALS,J,N.Y.C.,125,LINDON,from,-358.705190822,-56.9391965045628,0.950759830720907,2500
S1_MEASURED_BOUNDARY,221,48,MOSES E,D,NORTH,100,PHAS,from,-43.4006549750563,-63.9130038848293,1.1,2500
