control_type,source_element_index,source_from_bus,source_to_bus,source_value_1,source_value_2,retained_from_bus,retained_to_bus,reduced_treatment
transformer_tap_or_phase,36,848,9,0.975,0,73,39,inventory_only; no automatic tap import without branch-equivalence proof
switched_shunt_snapshot,240,240,NaN,43.25,0,53,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,485,485,NaN,40.31,0,47,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,489,489,NaN,15.12,0,37,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,512,512,NaN,30.06,0,39,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,539,539,NaN,1.47,0,73,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,587,587,NaN,31.13,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,589,589,NaN,500,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,609,609,NaN,-99.74,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,733,733,NaN,13.49,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,736,736,NaN,14.07,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,739,739,NaN,9.82,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,840,840,NaN,12.71,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,861,861,NaN,23.96,0,76,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,999,999,NaN,40,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1138,1138,NaN,19.19,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1160,1160,NaN,204.33,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1161,1161,NaN,19.64,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1204,1204,NaN,10.5,0,37,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1484,1484,NaN,23.06,0,39,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
switched_shunt_snapshot,1539,1539,NaN,83.53,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized
