scenario_id,x_multiplier,device_profile,eta,status,note,voltage_penalty_rho,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,added_device_report_count,added_device_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,added_device_pg_mw,added_device_qg_mvar,added_device_pmax_mw,added_device_qabs_limit_mvar,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S1_2025_SUMMER_PEAK_PUBLIC,1,none,1,ok,,0,12,0,0,258092.778070102,49,81,31,0,0,10902.2197987,1716.5,9156.03663505143,5578.31076367138,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.7708335542836,2772.86768854111,2019.3113834595,1717.64261575708,3212.7009458401,1293.1249845546
S2_2025_WINTER_PEAK_PUBLIC,1,none,1,ok,,0,12,0,0,259859.81866931,49,81,31,0,0,10902.2197987,1716.5,9629.61811227551,5132.76804489317,-1107.98572581365,-853.365467632651,0,0,0,0,0.900079708014848,1.09999778882556,2,0,0,0,66.3380716817247,2780.68424864501,2206.30371284736,2445.40634680287,2845.30616516039,886.484292463572
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,none,1,ok,,0,12,0,0,257553.603594956,49,81,31,0,0,10902.2197987,1716.5,9400.81825592688,5569.65973069424,-1107.98572581365,-853.365467632651,0,0,0,0,0.900000082507725,1.0999999268973,11,1,0,0,63.5793929879993,2816.48449885785,2394.36386880828,2107.39050409659,3692.94995542079,660.238767736577
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,none,1,ok,,0,12,0,0,257825.745649035,49,81,31,0,0,10902.2197987,1716.5,9040.32396037294,5604.11647381279,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.5530997593363,2792.63424477769,2042.13265004789,1736.68021655545,3319.29941065233,1326.72048291704
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,none,1,ok,,0,12,0,0,261105.373271483,49,81,31,0,0,10902.2197987,1716.5,9030.4169260624,5550.8958860975,-1107.98572581365,-853.365467632651,0,0,0,0,0.900115332399837,1.09998778603859,0,0,0,0,64.7923174492983,2740.66387554932,2042.99478593095,1825.00906899406,3340.97874824209,1286.20902467564
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,none,1,ok,,0,12,0,0,258059.902638978,49,81,31,0,0,10902.2197987,1716.5,9568.57093904769,5513.25843236644,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.6312765073572,2784.51186344297,2085.09610112113,1807.90957714475,3109.36834979528,1029.51162614536
S1_2025_SUMMER_PEAK_PUBLIC,1,p_supply,1,ok,,0,12,1,1,834635.058309481,49,81,37,6,6,10902.2197987,1716.5,11439.7700472589,5341.63758895789,-1107.98572581365,-853.365467632651,2303.30185322657,0,7450,0,0.9,1.1,18,1,0,0,65.7019357086947,2761.22944739101,2009.45507929386,1708.81053078343,1716.92241620094,722.046471649225
S2_2025_WINTER_PEAK_PUBLIC,1,p_supply,1,ok,,0,12,1,1,691028.673066733,49,81,37,6,6,10902.2197987,1716.5,11459.4643251149,5471.9389358501,-1107.98572581365,-853.365467632651,1759.98804035015,0,7450,0,0.9,1.1,17,1,0,0,64.4965388541124,2664.64384747547,1972.90711325824,1651.33867707387,1732.18323085217,484.768856480542
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,p_supply,1,ok,,0,12,1,1,767725.784917082,49,81,37,6,6,10902.2197987,1716.5,11460.3865580238,5486.27069848736,-1107.98572581365,-853.365467632651,2057.27223637439,0,7450,0,0.9,1.1,18,1,0,0,64.3177616798672,2814.6665284674,2392.77517143474,2105.86013847924,2319.85095230687,238.136046807323
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,p_supply,1,ok,,0,12,1,1,864852.682656382,49,81,37,6,6,10902.2197987,1716.5,11438.950568916,5348.81584463092,-1107.98572581365,-853.365467632651,2416.47537371782,0,7450,0,0.9,1.1,19,1,0,0,65.4625611478531,2782.64957336002,2033.84804396191,1729.36037052217,1748.86654153348,730.778608198617
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,p_supply,1,ok,,0,12,1,1,859925.990747008,49,81,37,6,6,10902.2197987,1716.5,11436.5685478007,5345.72305042591,-1107.98572581365,-853.365467632651,2397.17762383173,0,7450,0,0.9,1.1,18,1,0,0,65.5016404530749,2728.25206581518,2023.21298219578,1738.93585455046,1785.71424896628,702.18354734594
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,p_supply,1,ok,,0,12,1,1,724038.475219785,49,81,37,6,6,10902.2197987,1716.5,11448.9100520793,5383.55205040191,-1107.98572581365,-853.365467632651,1887.87373511528,0,7450,0,0.9,1.1,19,1,0,0,65.4845083697231,2771.74359462317,2074.23872346625,1798.16332135274,1875.78519467369,572.874317201565
S1_2025_SUMMER_PEAK_PUBLIC,1,q_support,1,ok,,0,12,0,0,258501.321499597,49,81,37,6,6,10902.2197987,1716.5,9343.52494003823,5937.0078141549,-1107.98572581365,-853.365467632651,1.15892190303545e-10,1461.72762681908,0,3350,0.9,1.1,18,1,0,0,69.8730402275921,2934.74742716699,2167.681323093,1865.10888989105,3215.01141974427,1290.86458623124
