zone,npcc_bus_id,npcc_bus_name,perform_bus_weight,preserved_zone_pmax_mw,old_bus_pmax_mw,new_bus_pmax_mw,bus_pmax_change_mw,source_rule,confidence
A,54,NIAGARA W,0.382185175153705,1292.8,394.385301787287,494.08899443871,99.703692651423,PERFORM Niagara hydro plants,high
A,55,NIAGARA E,0.191092587576852,1292.8,197.192650893643,247.044497219355,49.8518463257115,PERFORM Niagara hydro plants,high
A,56,HUNTLEY,0.3012848165981,1292.8,495.093851384339,389.501010898024,-105.592840486315,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,57,HUNTLEY,0.00871229543477941,1292.8,14.3166985641929,11.2632555380828,-3.05344302611005,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,60,DUNKIRK,0.036229555911566,1292.8,59.5351288283759,46.8375698824726,-12.6975589459033,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,61,DUNKIRK,0.0804955693249973,1292.8,132.276368542162,104.064672023357,-28.2116965188055,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
B,53,ROCHESTER,1,288.8,288.8,288.8,0,All PERFORM Zone-B generation at retained Rochester proxy,medium
C,50,CLAY,0.682385315127198,2511.2,1105.24857748821,1713.60600334742,608.357425859215,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
C,51,CLAY,0.180824507709693,2511.2,292.878562141814,454.08650376058,161.207941618766,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
C,65,GESONIDGE,0.024572506913824,2511.2,7.481832143219,61.7064793619949,54.2246472187759,PERFORM Greenidge plant,high
C,68,HILLSIDE,0.0597090451253934,2511.2,271.054008885173,149.941354118888,-121.112654766285,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
C,71,BINGHAMTON,0.0104652541081939,2511.2,643.677757785503,26.2803461164964,-617.397411669006,PERFORM Binghamton plant,high
C,72,LAPEER,0.0420433710156976,2511.2,190.859261556085,105.57931329462,-85.2799482614649,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
D,47,MOSES W,0.959329106258799,984.9807077,944.920662,944.920662,0,PERFORM Zone-D total allocated to Moses W/E proxies,low
D,48,MOSES E,0.0406708937412013,984.9807077,40.0600457,40.0600457,0,PERFORM Zone-D total allocated to Moses W/E proxies,low
E,43,EDIC,0.666666666666667,600,400,400,0,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
E,44,PORTER,0.333333333333333,600,200,200,0,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
F,37,NEW SEATHED,0.210302229460617,2168.003995,300,455.936073628024,155.936073628024,Residual Zone-F plants at New Scotland proxy,medium
F,38,GILBOA,0.28871900454521,2168.003995,500,625.943955286439,125.943955286439,PERFORM Blenheim-Gilboa plant,high
F,41,ROTTERDAM,0.099654470089088,2168.003995,300,216.051289272751,-83.9487107272493,PERFORM Selkirk cluster at Rotterdam proxy,medium
F,42,ALBANY,0.401324295905085,2168.003995,1068.003995,870.072676812786,-197.931318187214,PERFORM Bethlehem/Empire Capital-region cluster,medium
G,39,LEEDS,0.408278691528877,2200,600,898.21312136353,298.21312136353,PERFORM Athens/South-Cairo/West-Coxsackie cluster,medium
G,73,PLEASANT VLY,0.358300196665811,2200,900,788.260432664784,-111.739567335216,PERFORM Roseton/CPV-Valley cluster,medium
G,76,RAMAPO,0.233421111805312,2200,700,513.526445971687,-186.473554028313,Residual Zone-G plants at Ramapo proxy,medium
I,78,CE UG,1,565.099092,565.099092,565.099092,0,PERFORM Zone-I residual at CE UG interface proxy,low
J,79,RAV A-3,0.706420369463462,4197.07746,1777.453484,2964.90100995997,1187.44752595997,PERFORM Ravenswood/Astoria generation cluster,high
J,81,GOETHALS,0.165299657210587,4197.07746,900,693.775465424283,-206.224534575717,Residual Zone-J generation at Goethals/Gowanus proxy,medium
J,82,AK-3,0.128279973325951,4197.07746,1519.623976,538.40098461575,-981.22299138425,PERFORM Arthur-Kill/Narrows generation cluster,high
K,80,NORTHPORT,0.284679453396702,2384.929342,1784.929342,678.940381470316,-1105.98896052968,PERFORM Northport plant,high
K,9003,EAST GARDEN CITY,0.715320546603298,2384.929342,600,1705.98896052968,1105.98896052968,Residual Zone-K plants at East Garden City proxy,medium
