audit_group,scenario_id,voltage_reference_set,requested_reference_bus_count,applied_reference_bus_count,skipped_pq_reference_bus_count,skipped_pq_reference_bus_ids,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,solver,opf_success,termination_class,hard_attempt_success,hard_termination_class,restoration_invoked,hard_solver_status,hard_iterations,hard_solver_note,final_solver_status,final_iterations,max_ac_balance_component_residual_mw_or_mvar,max_complex_power_mismatch_mva,dual_residual,complementarity_residual,kkt_residual,solver_metric_note,objective,weighted_restoration_cost,qmin_slack_mvar,qmax_slack_mvar,vmin_slack_pu,vmax_slack_pu,branch_slack_mva,unweighted_mixed_unit_slack_total,max_q_slack_mvar,max_v_slack_pu,max_branch_slack_mva,q_slack_element_count,v_slack_element_count,branch_slack_element_count,raw_vg_deviation_total_pu,raw_vg_deviation_max_pu,original_voltage_violation_total_pu,original_voltage_violation_max_pu,min_voltage_pu,max_voltage_pu,total_absolute_p_redispatch_mw,max_single_p_redispatch_mw,external_q_absolute_mvar,external_q_deviation_from_prior_mvar,interface_objective,max_abs_interface_residual_mw,solver_note,unmodeled_controls
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8,IPOPT,1,hard_feasible_zero_slack,1,hard_success,0,0,27,,0,27,0.000985573603307088,0.00098786813455894,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,2.07452668246731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39786136950598,0.04,0,0,0.9,1.1,490.203067339611,94.8225849944711,2293.66184449467,2484.23028292976,0.0322169497873346,431.88426773659,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8025,IPOPT,1,hard_feasible_zero_slack,1,hard_success,0,0,34,,0,34,0.000985264113451123,0.000987589151617695,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,3.04462173466004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351801335446351,0.0395000000000001,0,0,0.9,1.1,579.299064855128,115.63347065841,2373.68158596226,2544.2272089594,0.0399014759890822,439.168951144513,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.805,IPOPT,1,hard_feasible_zero_slack,1,hard_success,0,0,30,,0,30,0.000996487540438906,0.000998816608236788,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,4.22709709961725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353212953915839,0.0389999999999999,0,0,0.9,1.1,670.282201307145,136.863794603637,2332.47083092885,2510.60635338855,0.0504875899700353,448.486165703208,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8075,IPOPT,1,hard_feasible_zero_slack,1,hard_success,0,0,37,,0,37,0.00098469276186286,0.000987144616856676,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,5.66428832255212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380881039486379,0.0385,0,0,0.9,1.1,763.046214178752,170.635953266422,2223.59349731673,2424.60510652077,0.0636101204702903,458.302364353186,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.81,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,42,OPF failed,0,61,5.36768407499721e-06,5.3676840749983e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,280.145935313443,272.730493737711,0,0,0,2.72730493737711e-05,0,2.72730493737711e-05,0,2.72730493737711e-05,0,0,1,0,0.337837169047464,0.037996415293625,0,0,0.90000103668771,1.09999915982856,853.127187841717,212.705909652086,2340.72593042237,2571.38225172382,0.0769557191006511,466.615205516732,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8125,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,57,OPF failed,0,46,5.36767466030597e-06,5.36767466030628e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,5762.81864370534,5755.40128229368,0,0,0,0.000575540128229368,0,0.000575540128229368,0,0.000575540128229368,0,0,1,0,0.332129823581401,0.0374963996280713,0,0,0.900001027845759,1.09999915376287,853.760069753122,212.705909652086,2350.89379163174,2581.55011293318,0.0770338494635418,466.632161338616,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.815,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,36,OPF failed,0,60,5.36766417980061e-06,5.36766417980072e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,11245.5515189187,11238.1322945488,0,0,0,0.00112381322945488,0,0.00112381322945488,0,0.00112381322945488,0,0,1,0,0.362761058264512,0.0369963867830381,0,0,0.900001015430869,1.09999914767499,854.368955103264,212.705909652086,2218.64021326088,2430.98887463051,0.0772217190278501,466.753273357193,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8175,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,38,OPF failed,0,61,5.36765458747368e-06,5.36765458747416e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,16728.3450155339,16720.9234655819,0,0,0,0.00167209234655819,0,0.00167209234655819,0,0.00167209234655819,0,0,1,0,0.367681976730784,0.0364962150108021,0,0,0.900001001951257,1.09999914155214,855.13465554218,212.705909652086,2331.86819242656,2562.524513728,0.0773003611847153,467.828485039855,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.82,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,41,OPF failed,0,47,5.36764535041812e-06,5.36764535041943e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,22211.1976040191,22203.7747305649,0,0,0,0.00222037747305649,0,0.00222037747305649,0,0.00222037747305649,0,0,1,0,0.350354148908431,0.0359963547192086,0,0,0.900000991740152,1.09999913487213,855.568329413821,212.705909652086,2236.62858593702,2455.96148072486,0.0773679484534867,466.773658012103,,tap and shunt controls not modeled because defensible ranges are absent
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,20,20,0,,increasing,warm,0,present_limited_q,0.8225,IPOPT,1,restored_nonzero_slack,0,solver_nonconvergence,1,2,37,OPF failed,0,62,5.36763611336255e-06,5.36763611336613e-06,NaN,NaN,NaN,AC balance fields report the maximum P/Q component residual and maximum complex-power mismatch. Full IPOPT dual/complementarity/KKT residuals are not exposed by the installed MATPOWER wrapper.,27694.1106647259,27686.6860247568,0,0,0,0.00276866860247568,0,0.00276866860247568,0,0.00276866860247568,0,0,1,0,0.344150037750117,0.0354963388244904,0,0,0.900000980286314,1.09999912826033,856.147916626799,212.705909652086,2245.74692393035,2468.57759253657,0.0774388434000229,466.780678995973,,tap and shunt controls not modeled because defensible ranges are absent
