bus_id,bus_name,base_kv,nyiso_zone_letter,nyiso_zone_name,latitude_deg,longitude_deg,coordinate_basis,coordinate_confidence,coordinate_precision,coordinate_crs,coordinate_qc_flag,cornell_latitude_deg,cornell_longitude_deg,coordinate_override_applied,zone_mapping_confidence,is_model_added,is_geographic_proxy,is_physical_dlr_endpoint,weather_use,coordinate_source_url,model_source,notes
37,NEW SEATHED,345,F,CAPITL,42.494,-73.923,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.494,-73.923,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,New Scotland-equivalent capital-area proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
38,GILBOA,345,F,CAPITL,42.440411,-74.446754,public_facility_point_approximate,high,site_approximate,EPSG:4326,public_facility_point_not_surveyed;cornell_zone_id_ignored_mismatch;cornell_differs_from_official_anchor_gt5km,42.336,-74.88,true,high,false,false,true,dlr_corridor_endpoint_seed,https://mis.nyiso.com/public/htm/generator/generator.htm,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Gilboa capital-area proxy Official NYISO Gilboa-unit location used as the Blenheim-Gilboa plant/substation site anchor; not an exact surveyed 345-kV busbar. Source check: 2026-08-02.
39,LEEDS,345,G,HUD VL,42.26476,-73.84697,public_facility_point_approximate,medium_high,site_approximate,EPSG:4326,public_facility_point_not_surveyed,42.042,-74.001,true,high,false,false,true,dlr_corridor_endpoint_seed,https://www.openstreetmap.org/way/139903895; https://documents.dps.ny.gov/search/Home/ViewDoc/Find?ext=pdf&id=%7B929EC802-269F-47BB-8C1E-44F631BDCAFE%7D,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Leeds Hudson Valley proxy and Total East endpoint Center of the public Leeds Substation polygon; NYS DPS independently locates the station in the Town of Athens. Not surveyed utility GIS. Source check: 2026-08-02.
40,NEW SEATHED,230,F,CAPITL,42.646,-74.066,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.646,-74.066,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Lower-voltage New Scotland-equivalent proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
41,ROTTERDAM,115,F,CAPITL,43.086,-73.78,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,43.086,-73.78,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Rotterdam capital-area load bus Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
42,ALBANY,115,F,CAPITL,42.702,-73.628,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,42.702,-73.628,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Albany capital-area generation/load bus Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
43,EDIC,345,E,MHK VL,42.894,-75.24,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,42.894,-75.24,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Edic Mohawk Valley proxy and equivalent-generation candidate Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
44,PORTER,230,E,MHK VL,43.013,-75.136,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,43.013,-75.136,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Porter Mohawk Valley proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
45,PORTER,115,E,MHK VL,43.131,-75.24,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,43.131,-75.24,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Porter lower-voltage Mohawk Valley load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
46,COLTON,115,D,NORTH,44.428,-75.051,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;cornell_zone_id_ignored_mismatch,44.428,-75.051,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Northern New York proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
47,MOSES W,230,D,NORTH,44.654,-75.211,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;cornell_zone_id_ignored_mismatch,44.654,-75.211,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Moses western hydro proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
48,MOSES E,230,D,NORTH,44.846,-74.821,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,44.846,-74.821,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Moses eastern hydro/interchange proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
49,PLATTSBURGH,115,D,NORTH,44.699,-74.134,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,44.699,-74.134,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Plattsburgh northern load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
50,CLAY,345,C,CENTRL,43.306,-76.333,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,43.306,-76.333,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Clay central New York bulk proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
51,CLAY,115,C,CENTRL,42.939,-76.261,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.939,-76.261,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Clay central generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
52,ROCHESTER,345,B,GENESE,43.312,-77.482,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,43.312,-77.482,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Rochester Genesee bulk proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
53,ROCHESTER,115,B,GENESE,42.889,-77.777,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.889,-77.777,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Rochester generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
54,NIAGARA W,230,A,WEST,43.125,-78.352,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,43.125,-78.352,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Niagara western generation/interchange proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
55,NIAGARA E,230,A,WEST,42.996,-78.591,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,42.996,-78.591,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Niagara eastern generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
56,HUNTLEY,230,A,WEST,43.312,-78.743,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,43.312,-78.743,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Huntley western generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
57,HUNTLEY,115,A,WEST,42.911,-79.125,cornell_nygrid_model_point,very_low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;outside_ny_state_polygon;same_name_source_points_separated,42.911,-79.125,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Huntley lower-voltage generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
58,GARDENVILLE,230,A,WEST,42.714,-79.133,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.714,-79.133,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Gardenville western load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
59,GARDENVILLE,115,A,WEST,42.561,-78.797,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.561,-78.797,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Gardenville lower-voltage load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
60,DUNKIRK,230,A,WEST,42.33,-79.315,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.33,-79.315,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Dunkirk western generation proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
61,DUNKIRK,115,A,WEST,42.234,-78.828,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.234,-78.828,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Dunkirk generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
62,STOLLE RD,230,A,WEST,42.708,-78.255,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;cornell_zone_id_ignored_mismatch,42.708,-78.255,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Western corridor proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
63,MEYER,230,C,CENTRL,42.42,-77.824,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.42,-77.824,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Central corridor proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
64,MEYER,115,C,CENTRL,42.409,-77.592,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.409,-77.592,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Central load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
65,GESONIDGE,115,C,CENTRL,42.629,-76.978,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;ambiguous_or_aggregate_bus_identity,42.629,-76.978,false,low,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Name requires source-case confirmation Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
66,WATERCURE,345,C,CENTRL,41.862,-76.203,cornell_nygrid_model_point,very_low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;outside_ny_state_polygon,41.862,-76.203,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Central bulk proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
67,WRHL,230,C,CENTRL,41.952,-77.041,cornell_nygrid_model_point,very_low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;outside_ny_state_polygon,41.952,-77.041,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Central corridor proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
68,HILLSIDE,115,C,CENTRL,42.15,-76.714,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,42.15,-76.714,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Central generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
69,BINGHAMTON,345,C,CENTRL,42.009,-75.397,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;cornell_zone_id_ignored_mismatch;same_name_source_points_separated,42.009,-75.397,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Binghamton bulk proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
70,BINGHAMTON,230,C,CENTRL,42.014,-75.988,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.014,-75.988,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Binghamton corridor proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
71,BINGHAMTON,115,C,CENTRL,42.33,-75.789,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only;same_name_source_points_separated,42.33,-75.789,false,high,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Binghamton generation/load proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
72,LAPEER,115,C,CENTRL,42.635,-76.093,cornell_nygrid_model_point,low,model_layout_approximate,EPSG:4326_assumed,published_model_point_orientation_only,42.635,-76.093,false,medium,false,true,false,orientation_only_not_for_line_weather,https://raw.githubusercontent.com/AndersonEnergyLab-Cornell/NYgrid/002d77669b42aa7171fb6fb646564846faf2d676/Data/bus_ny_type_zone_new.csv,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Southern-tier proxy Published NYGrid model coordinate retained for orientation only; may be schematic or a reduced-bus proxy rather than a surveyed facility point. Source check: 2026-08-02.
73,PLEASANT VLY,345,G,HUD VL,41.739532,-73.834413,public_facility_point_approximate,high,site_approximate,EPSG:4326,public_facility_point_not_surveyed;cornell_differs_from_official_anchor_gt5km,41.58,-73.641,true,high,false,false,true,dlr_corridor_endpoint_seed,https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B608BBAD2-D654-4B74-95AF-7A03B553BB16%7D; https://www.openstreetmap.org/way/86251100,System Matpower Format/NY_Lite/ny_bus_zone_map.csv,Pleasant Valley Hudson Valley proxy and equivalent-generation candidate NYS DPS-hosted NYSEG approximate coordinate for Pleasant Valley Substation; public polygon independently agrees. Not a surveyed busbar. Source check: 2026-08-02.
