bus_id,bus_name,base_kv,original_npcc_area,physical_zone,load_allocation_group,nyiso_zone_letter,nyiso_zone_name,perform_zone_code,load_proxy_flag,generation_proxy_flag,load_proxy_weight,mapping_confidence,mapping_note
37,NEW SEATHED,345.0,2,F,F,F,CAPITL,70,0,0,0.0,medium,New Scotland-equivalent capital-area proxy
38,GILBOA,345.0,2,F,F,F,CAPITL,70,0,0,0.0,high,Gilboa capital-area proxy
39,LEEDS,345.0,2,G,G,G,HUD VL,71,1,0,0.2,high,Leeds Hudson Valley proxy and Total East endpoint
40,NEW SEATHED,230.0,2,F,F,F,CAPITL,70,0,0,0.0,medium,Lower-voltage New Scotland-equivalent proxy
41,ROTTERDAM,115.0,2,F,F,F,CAPITL,70,0,0,0.0,high,Rotterdam capital-area load bus
42,ALBANY,115.0,2,F,F,F,CAPITL,70,0,1,0.0,high,Albany capital-area generation/load bus
43,EDIC,345.0,2,E,E,E,MHK VL,69,0,1,0.0,high,Edic Mohawk Valley proxy and equivalent-generation candidate
44,PORTER,230.0,2,E,E,E,MHK VL,69,0,0,0.0,medium,Porter Mohawk Valley proxy
45,PORTER,115.0,2,E,E,E,MHK VL,69,0,0,0.0,medium,Porter lower-voltage Mohawk Valley load proxy
46,COLTON,115.0,2,D,D,D,NORTH,68,0,0,0.0,high,Northern New York proxy
47,MOSES W,230.0,2,D,D,D,NORTH,68,0,1,0.0,high,Moses western hydro proxy
48,MOSES E,230.0,2,D,D,D,NORTH,68,0,1,0.0,high,Moses eastern hydro/interchange proxy
49,PLATTSBURGH,115.0,2,D,D,D,NORTH,68,0,0,0.0,high,Plattsburgh northern load proxy
50,CLAY,345.0,2,C,C,C,CENTRL,67,0,1,0.0,high,Clay central New York bulk proxy
51,CLAY,115.0,2,C,C,C,CENTRL,67,0,1,0.0,high,Clay central generation/load proxy
52,ROCHESTER,345.0,2,B,B,B,GENESE,66,0,0,0.0,high,Rochester Genesee bulk proxy
53,ROCHESTER,115.0,2,B,B,B,GENESE,66,0,1,0.0,high,Rochester generation/load proxy
54,NIAGARA W,230.0,2,A,A,A,WEST,65,0,1,0.0,high,Niagara western generation/interchange proxy
55,NIAGARA E,230.0,2,A,A,A,WEST,65,0,1,0.0,high,Niagara eastern generation/load proxy
56,HUNTLEY,230.0,2,A,A,A,WEST,65,0,1,0.0,high,Huntley western generation/load proxy
57,HUNTLEY,115.0,2,A,A,A,WEST,65,0,1,0.0,high,Huntley lower-voltage generation/load proxy
58,GARDENVILLE,230.0,2,A,A,A,WEST,65,0,0,0.0,high,Gardenville western load proxy
59,GARDENVILLE,115.0,2,A,A,A,WEST,65,0,0,0.0,high,Gardenville lower-voltage load proxy
60,DUNKIRK,230.0,2,A,A,A,WEST,65,0,1,0.0,high,Dunkirk western generation proxy
