scenario_id,zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
S1_2019_SUMMER_PEAK_PUBLIC,A,54,NIAGARA W,1267.83251802181,0.382185175153705,484.546792965728,484.546792965728,0,0,494.08899443871,PERFORM Niagara hydro plants,high
S1_2019_SUMMER_PEAK_PUBLIC,A,55,NIAGARA E,1267.83251802181,0.191092587576852,242.273396482864,242.273396482864,0,0,247.044497219355,PERFORM Niagara hydro plants,high
S1_2019_SUMMER_PEAK_PUBLIC,A,56,HUNTLEY,1267.83251802181,0.3012848165981,381.978687669308,381.978687669308,0,0,389.501010898024,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2019_SUMMER_PEAK_PUBLIC,A,57,HUNTLEY,1267.83251802181,0.00871229543477941,11.0457314588263,11.0457314588263,0,0,11.2632555380828,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2019_SUMMER_PEAK_PUBLIC,A,60,DUNKIRK,1267.83251802181,0.036229555911566,45.9330090981727,45.9330090981727,0,0,46.8375698824726,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2019_SUMMER_PEAK_PUBLIC,A,61,DUNKIRK,1267.83251802181,0.0804955693249973,102.05490034691,102.05490034691,0,0,104.064672023357,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
S1_2019_SUMMER_PEAK_PUBLIC,B,53,ROCHESTER,227.039778804806,1,227.039778804806,227.039778804806,0,0,288.8,All PERFORM Zone-B generation at retained Rochester proxy,medium
S1_2019_SUMMER_PEAK_PUBLIC,C,50,CLAY,691.009483973782,0.682385315127198,471.534724477332,471.534724477332,0,0,1713.60600334742,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2019_SUMMER_PEAK_PUBLIC,C,51,CLAY,691.009483973782,0.180824507709693,124.951449762288,124.951449762288,0,0,454.08650376058,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
S1_2019_SUMMER_PEAK_PUBLIC,C,65,GESONIDGE,691.009483973782,0.024572506913824,16.9798353224637,16.9798353224637,0,0,61.7064793619949,PERFORM Greenidge plant,high
S1_2019_SUMMER_PEAK_PUBLIC,C,68,HILLSIDE,691.009483973782,0.0597090451253934,41.2595164606654,41.2595164606654,0,0,149.941354118888,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
