scenario_id,timestamp,zone,nyiso_zone_name,target_load_mw,target_net_export_mw,target_generation_mw,generation_prior_mw,target_confidence,source,note
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,A,WEST,932.340491582214,0,932.340491582214,1616.40266972774,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,B,GENESE,636.148567337793,0,636.148567337793,361.242206998769,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,C,CENTRL,910.820614656522,0,910.820614656522,3138.52598318944,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,D,NORTH,170.185373086867,713.559374921485,883.744748008352,887.947692667699,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,E,MHK VL,444.549582437007,206.265313542996,650.814895980003,598.491092722753,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,F,CAPITL,785.822247965843,145.042805725309,930.865053691152,2210.31170242578,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,G,HUD VL,816.002322378635,822.15826350552,1638.16058588415,2177.17276325716,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,H,MILLWD,227.774482133019,-1887.02575769531,-1659.25127556229,24.7616375072827,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,I,DUNWOD,486.15217802916,1013.73430197272,1499.88648000188,0,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,J,N.Y.C.,3639.49544326512,-1013.73430197272,2625.7611412924,4028.83413102138,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,K,LONGIL,1852.92849582782,0,1852.92849582782,2404.65584428201,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,A,WEST,930.721354169112,0,930.721354169112,1616.40266972774,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,B,GENESE,693.312159348906,0,693.312159348906,361.242206998769,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
S2_2025_WINTER_PEAK_PUBLIC,2025-01-22 18:00,C,CENTRL,1131.40543191626,0,1131.40543191626,3138.52598318944,low_internal_interface_incidence_only,P58C_load_P32_internal_interface_scaled,Approximate zonal generation target from signed public interface incidence; not a hard OPF target.
