case_id,scenario_id,gen_index,bus_id,bus_name,zone,qg_mvar,qmin_mvar,qmax_mvar,q_range_position,at_qmin,at_qmax
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,42,ALBANY,F,386.237498113016,-999,999,0.693312061117626,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2,47,MOSES W,D,-94.9282049394716,-999,999,0.45248838591618,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3,48,MOSES E,D,223.887904914647,-999,999,0.612056008465789,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,4,50,CLAY,C,150.981035478647,-999,999,0.575566083823147,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,5,51,CLAY,C,-645.54478448677,-999,999,0.176904512268884,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,6,53,ROCHESTER,B,-426.798266814856,-999,999,0.286387253846418,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,7,54,NIAGARA W,A,114.123942177596,-999,999,0.557119090178977,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,8,54,NIAGARA W,A,684.631601981153,-9999,9999,0.534235003599418,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9,55,NIAGARA E,A,761.153742219885,-999,999,0.880957828938881,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,10,56,HUNTLEY,A,-565.37017966775,-999,999,0.217031942108233,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,11,57,HUNTLEY,A,-464.242320373237,-999,999,0.267646486299681,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,12,60,DUNKIRK,A,-122.674214055542,-999,999,0.438601494466696,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,13,61,DUNKIRK,A,190.178817498306,-999,999,0.595184593342496,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,14,65,GESONIDGE,C,355.361429832601,-999,999,0.67785857348979,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,15,68,HILLSIDE,C,-267.222649324438,-999,999,0.366254930268049,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,16,71,BINGHAMTON,C,799.563899310406,-999,999,0.90018213178699,0,0
CURRENT_Q_BASE_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,17,72,LAPEER,C,60.0562741872329,-999,999,0.530058195288905,0,0
