source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1,53,B,assumed_same_zone_source_distance_aggregation,250,0.0435636537320807,115,0
2,20002,F,exact_source_region,2,0,69,0
3,20003,F,exact_source_region,3,0,115,0
4,20004,D,exact_source_region,4,0,115,0
5,20005,F,exact_source_region,5,0,115,0
6,20006,F,exact_source_region,6,0,115,0
7,20007,F,exact_source_region,7,0,115,0
8,20008,F,exact_source_region,8,0,115,0
9,20009,G,exact_source_region,9,0,115,0
10,20010,D,exact_source_region,10,0,115,0
11,20011,F,exact_source_region,11,0,115,0
12,20012,F,exact_source_region,12,0,115,0
13,20013,F,exact_source_region,13,0,115,0
14,20014,E,exact_source_region,14,0,115,0
15,20015,E,exact_source_region,15,0,115,0
16,20016,E,exact_source_region,16,0,115,0
17,20017,K,exact_source_region,17,0,138,0
18,20018,K,exact_source_region,18,0,69,0
19,20019,K,exact_source_region,19,0,115,1
20,20020,E,exact_source_region,20,0,115,0
21,20021,E,exact_source_region,21,0,115,0
22,20022,F,exact_source_region,22,0,69,0
23,20023,E,exact_source_region,23,0,115,0
24,68,C,assumed_same_zone_same_kV_boundary_aggregation,24,0,115,0
25,20025,E,exact_source_region,25,0,115,0
26,20026,J,exact_source_region,26,0,345,0
27,68,C,assumed_same_zone_source_distance_aggregation,27,0,115,0
28,20028,E,exact_source_region,28,0,115,0
29,65,C,assumed_same_zone_source_distance_aggregation,29,0,115,0
30,68,C,assumed_same_zone_source_distance_aggregation,30,0,115,0
31,20031,F,exact_source_region,31,0,115,0
32,20032,F,exact_source_region,32,0,115,0
33,56,A,assumed_same_zone_source_distance_aggregation,33,0,115,0
34,50,C,assumed_same_zone_source_distance_aggregation,34,0,115,0
35,20035,D,exact_source_region,35,0,115,0
36,20036,D,exact_source_region,36,0,115,0
37,57,A,assumed_same_zone_source_distance_aggregation,37,0,115,0
38,61,A,assumed_same_zone_source_distance_aggregation,38,0,115,0
39,60,A,assumed_same_zone_source_distance_aggregation,39,0,230,0
40,20040,E,exact_source_region,40,0,115,0
41,56,A,assumed_same_zone_source_distance_aggregation,41,0,115,0
42,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00153287311934158,115,0
43,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0396606263321945,115,0
44,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0388893287958899,115,0
45,61,A,assumed_same_zone_source_distance_aggregation,1330,0.0374291918160144,115,0
46,61,A,assumed_same_zone_source_distance_aggregation,1330,0.00457918236168715,115,0
47,61,A,assumed_same_zone_source_distance_aggregation,1330,0.128261584589386,115,0
48,61,A,assumed_same_zone_source_distance_aggregation,1330,0.117553241700648,115,0
49,20049,E,exact_source_region,49,0,115,0
50,20050,E,exact_source_region,50,0,115,0
51,68,C,assumed_same_zone_source_distance_aggregation,30,0.0476135964579844,115,0
52,72,C,assumed_same_zone_source_distance_aggregation,52,0,115,0
53,68,C,assumed_same_zone_source_distance_aggregation,53,0,115,0
54,72,C,assumed_same_zone_source_distance_aggregation,1250,0.0351688159192074,230,0
55,68,C,assumed_same_zone_source_distance_aggregation,30,0.100669847024817,115,0
