category,setting,value,notes
model,recommended_case,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Network-structural baseline with inherited S4 capability assumptions
model,base_mva,100,MATPOWER system base
model,full_case_bus_count,143,Original 140 plus three zero-load transit buses
model,full_case_branch_count,246,Includes downstate delivery spine
model,full_case_generator_count,62,Original units plus fourteen zonal equivalents
validation,network_form,NY boundary equivalent,Required to fix public external schedules exactly in standard PF
validation,ny_bus_count,49,NY-only S7 core
validation,ny_branch_count,81,NY-only S7 core
validation,ny_internal_generator_count,35,Before eight external boundary equivalents
validation,external_equivalent_count,8,Fixed scaled P-32 schedules
load,source,NYISO P-58C Integrated Real-Time Actual Load,Six selected 2025 public hours
load,npcc_ny_total_mw,10902.2197987,Preserved for every public scenario
load,bus_allocation,Original NPCC weights plus proxy weights,Reactive load preserves Q/P or uses 0.97 power factor for new proxy load
generation,zonal_target_method,Constrained seven-interface DC inverse,Capability bounded with PERFORM zonal prior
generation,operational_closure_method,Iterative finite-difference AC zonal redispatch,S8 diagnostic on direct-PERFORM S7
generation,loss_participation,Available zonal headroom,Final reference pickup below 0.1 MW
generation,ac_sensitivity_slack,Distributed participation vector,Directions use e_z minus alpha rather than Zone-J-only transfers
generation,ac_iteration_damping,0.4,Maximum six iterations
generation,bus_allocation,PERFORM generation shift keys,Applied within each inferred zone total
generation,zone_j_equivalent_pmax_mw,3000,40 percent RAV A-3; 30 percent AK-3; 30 percent Goethals
generation,s4_equivalent_cost_c1,180,Linear cost coefficient used in S4 OPF calibration
generation,s4_equivalent_cost_c2,0.02,Quadratic cost coefficient used in S4 OPF calibration
generation,abc_cap_factor,0.8,Inherited S4 participation envelope; not an operationally certified availability limit
external_interchange,source,NYISO P-32,Positive target means import into NY
external_interchange,p_tolerance_mw,0.001,Boundary generator PMIN/PMAX tolerance
interfaces,count,7,Dysinger East; West Central; Moses South; Central East; Total East; UPNY-ConEd; Dunwoodie South
interfaces,objective,Fixed-scale squared normalized residual,Scales stored in nyiso_interface_objective_scales.csv
tie,GILBOA_LEEDS_R_X_B,0.00131 / 0.01997 / 0.51614,Direct PERFORM circuit
tie,GILBOA_LEEDS_RATE_A_MVA,1216,Direct PERFORM rating
