public_interface_name,point_id,default_channel_include,accounting_policy,evidence_url,evidence_scope,terminal_PQ_observed
SCH - HQ - NY,23324,1,include_gross_Chateauguay_interface_with_wheel_throughs,https://www.nyiso.com/documents/20142/1409680/Seams_Closed.pdf/e523b0d3-907c-e7a6-fe27-628875cfafad,inference_from_dual_HQ_proxy_documentation_exact_reporting_algebra_unresolved,0
SCH - HQ_CEDARS,325274,1,include_separate_Cedars_interface,https://eta-publications.lbl.gov/sites/default/files/assessment-of-historic-transmission-schedules-and-flows-2014.pdf,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - HQ_IMPORT_EXPORT,325376,0,exclude_nested_HQ_import_export_reporting_scope_never_sum_with_HQ_NY,https://www.nyiso.com/documents/20142/1409680/Seams_Closed.pdf/e523b0d3-907c-e7a6-fe27-628875cfafad,inference_from_dual_HQ_proxy_documentation_exact_reporting_algebra_unresolved,0
SCH - NE - NY,23318,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - NPX_1385,325277,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - NPX_CSC,325154,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - OH - NY,23317,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - PJ - NY,23316,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - PJM_HTP,325905,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/1407325/Constraint%20Reliability%20Margin%20CRM.pdf/b9de3cb5-855a-ca32-b66e-86c6933c88ef,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - PJM_NEPTUNE,325305,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
SCH - PJM_VFT,325658,1,include_distinct_additional_or_primary_P32_channel,https://www.nyiso.com/documents/20142/2926255/2010Report_NYISO_2011-08-02_NMB.pdf/b532cb34-64b9-86e7-f794-25870de8d717,distinct_named_public_interface_with_declared_landing_approximation,0
