category,setting,value,notes
model,recommended_case,npcc_ny_lite_s12_perform_retention_core,Retention-set Ward/Kron reduction of PERFORM 2019; s12_case.mat is authoritative; see System Matpower Format/NY_Lite/S12_PERFORM_RETENTION_REDUCTION.md
model,previous_structural_case,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Superseded 2026-07-20 by S12 for calibration; retained for provenance
model,target_data_vintage,2019 public hours (scaled),Retargeted 2026-07-20 from 2025 hours; scaled convention retained; see System Matpower Format/NY_Lite/RETARGET_2019_SCALED.md
s12,case_size,317 buses / 3531 branches / 615 generators,359 physical branches plus 3172 Kron equivalent branches
s12,snapshot_exactness,max 0.017 MW on 47 monitored circuits,Ward identity residual 3.7e-11 pu; voltage RMSE 1e-6 pu
s12,interface_operators,7 operators / 47 retained monitored circuits,Total East is an 8-circuit physical boundary-cut proxy of the official composite
s12,seasonal_priors,NYISO rtfuelmix 2019 + NYGenUCV4 winter capacities,Commitment follows prior; Indian Point re-committed for 2019 scenario hours
s12,device_controls,34 switched shunts preserved; PARs/taps absent in source RAW,144 transformers have zero shift and zero automatic tap control in PERFORM NY
s12,scenario_pf_success,6 / 6 standard and 6 / 6 Q-limit enforced,Voltages within 0.991-1.068 pu
s12,all_hour_objective_closed,0.055790,Fixed 2019 scales; S7 baseline 0.489612 on identical targets
s12,all_hour_objective_forward,1.587072,Prior-only forward dispatch with no interface fitting
s12,closure_movement_range_mw,1734 to 2970 scaled,16-27 percent of NY load; above the old 10 percent gate; see caveats
model,base_mva,100,MATPOWER system base
model,full_case_bus_count,143,Original 140 plus three zero-load transit buses
model,full_case_branch_count,246,Includes downstate delivery spine
model,full_case_generator_count,62,Original units plus fourteen zonal equivalents
validation,network_form,NY boundary equivalent,Required to fix public external schedules exactly in standard PF
validation,ny_bus_count,49,NY-only S7 core
validation,ny_branch_count,81,NY-only S7 core
validation,ny_internal_generator_count,35,Before eight external boundary equivalents
validation,external_equivalent_count,8,Fixed scaled P-32 schedules
load,source,NYISO P-58C Integrated Real-Time Actual Load,Six selected 2019 public hours contemporaneous with the PERFORM 2019 network
load,npcc_ny_total_mw,10902.2197987,Preserved for every public scenario
load,bus_allocation,Original NPCC weights plus proxy weights,Reactive load preserves Q/P or uses 0.97 power factor for new proxy load
generation,zonal_target_method,Constrained seven-interface DC inverse,Capability bounded with PERFORM zonal prior
generation,operational_closure_method,Iterative finite-difference AC zonal redispatch,S8 diagnostic on direct-PERFORM S7
generation,loss_participation,Available zonal headroom,Final reference pickup below 0.1 MW
generation,ac_sensitivity_slack,Distributed participation vector,Directions use e_z minus alpha rather than Zone-J-only transfers
generation,ac_iteration_damping,0.4,Maximum six iterations
generation,bus_allocation,PERFORM generation shift keys,Applied within each inferred zone total
generation,zone_j_equivalent_pmax_mw,3000,40 percent RAV A-3; 30 percent AK-3; 30 percent Goethals
generation,s4_equivalent_cost_c1,180,Linear cost coefficient used in S4 OPF calibration
generation,s4_equivalent_cost_c2,0.02,Quadratic cost coefficient used in S4 OPF calibration
generation,abc_cap_factor,0.8,Inherited S4 participation envelope; not an operationally certified availability limit
external_interchange,source,NYISO P-32,Positive target means import into NY
external_interchange,p_tolerance_mw,0.001,Boundary generator PMIN/PMAX tolerance
interfaces,count,7,Dysinger East; West Central; Moses South; Central East; Total East; UPNY-ConEd; Dunwoodie South
interfaces,objective,Fixed-scale squared normalized residual,Scales stored in nyiso_interface_objective_scales.csv
tie,GILBOA_LEEDS_R_X_B,0.00131 / 0.01997 / 0.51614,Direct PERFORM circuit
tie,GILBOA_LEEDS_RATE_A_MVA,1216,Direct PERFORM rating
tie,PLEASANT_VLY_WOOD_STREET_R_X_B,0.000405 / 0.006185 / 0.63943,Two-circuit PERFORM parallel equivalent
tie,PLEASANT_VLY_WOOD_STREET_RATE_A_MVA,2432,Two-circuit aggregate
tie,WOOD_STREET_MILLWOOD_R_X_B,0.000185 / 0.002815 / 0.29107,Two-circuit PERFORM parallel equivalent
tie,WOOD_STREET_MILLWOOD_RATE_A_MVA,2432,Two-circuit aggregate
solver,standard_pf,pf.enforce_q_lims = 0,Primary interface-consistency calculation
solver,q_diagnostic_pf,pf.enforce_q_lims = 1,Five of six scenarios converge
solver,dc_inverse,lsqlin,Requires MATLAB Optimization Toolbox
software,MATLAB,R2026a Update 3,Version 26.1.0.3276743 used for final verification
software,MATPOWER,8.1,IPOPT feature also available
status,standard_pf_success,6 / 6,Does not imply limit feasibility
status,q_enforced_pf_success,6 / 6,All six 2019 scenarios converge with Q limits enforced
status,all_interface_objective,0.489611840297148,Direct PERFORM candidate; 2019 targets; not comparable to prior 2025-target objectives
status,holdout_interface_objective,0.193827454127291,Two held-out scenarios
