zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
A,54,NIAGARA W,1289.51120956265,0.382185175153705,492.832067489366,492.832067489366,0,0,494.08899443871,PERFORM Niagara hydro plants,high
A,55,NIAGARA E,1289.51120956265,0.191092587576852,246.416033744683,246.416033744683,0,0,247.044497219355,PERFORM Niagara hydro plants,high
A,56,HUNTLEY,1289.51120956265,0.3012848165981,388.510148274276,388.510148274276,0,0,389.501010898024,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,57,HUNTLEY,1289.51120956265,0.00871229543477941,11.2346026241695,11.2346026241695,0,0,11.2632555380828,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,60,DUNKIRK,1289.51120956265,0.036229555911566,46.7184184654411,46.7184184654411,0,0,46.8375698824726,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
A,61,DUNKIRK,1289.51120956265,0.0804955693249973,103.799938964711,103.799938964711,0,0,104.064672023357,Residual Zone-A plants allocated to Huntley/Dunkirk proxies,medium
B,53,ROCHESTER,286.871682543475,1,286.871682543475,286.871682543475,0,0,288.8,All PERFORM Zone-B generation at retained Rochester proxy,medium
C,50,CLAY,1920.05102675409,0.682385315127198,1310.21462495189,1310.21462495189,0,0,1713.60600334742,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
C,51,CLAY,1920.05102675409,0.180824507709693,347.192281690299,347.192281690299,0,0,454.08650376058,PERFORM Nine Mile/Fitzpatrick/Independence/Oswego cluster,high
C,65,GESONIDGE,1920.05102675409,0.024572506913824,47.1804671298099,47.1804671298099,0,0,61.7064793619949,PERFORM Greenidge plant,high
C,68,HILLSIDE,1920.05102675409,0.0597090451253934,114.644413399518,114.644413399518,0,0,149.941354118888,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
C,71,BINGHAMTON,1920.05102675409,0.0104652541081939,20.0938218956801,20.0938218956801,0,0,26.2803461164964,PERFORM Binghamton plant,high
C,72,LAPEER,1920.05102675409,0.0420433710156976,80.7254176868936,80.7254176868936,0,0,105.57931329462,Residual Zone-C plants allocated to Hillside/Lapeer proxies,medium
D,47,MOSES W,368.511126078815,0.959329106258799,353.523449227613,353.523449227613,0,0,944.920662,PERFORM Zone-D total allocated to Moses W/E proxies,low
D,48,MOSES E,368.511126078815,0.0406708937412013,14.9876768512019,14.9876768512019,0,0,40.0600457,PERFORM Zone-D total allocated to Moses W/E proxies,low
E,43,EDIC,192.475499710726,0.666666666666667,128.316999807151,128.316999807151,0,0,400,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
E,44,PORTER,192.475499710726,0.333333333333333,64.1584999035755,64.1584999035755,0,0,200,PERFORM Zone-E total allocated to Edic/Porter equivalents,low
F,37,NEW SEATHED,1416.27633650161,0.210302229460617,297.846071098603,297.846071098603,0,0,455.936073628024,Residual Zone-F plants at New Scotland proxy,medium
F,38,GILBOA,1416.27633650161,0.28871900454521,408.905894035681,408.905894035681,0,0,625.943955286439,PERFORM Blenheim-Gilboa plant,high
F,41,ROTTERDAM,1416.27633650161,0.099654470089088,141.138267813782,141.138267813782,0,0,216.051289272751,PERFORM Selkirk cluster at Rotterdam proxy,medium
F,42,ALBANY,1416.27633650161,0.401324295905085,568.38610355354,568.38610355354,0,0,870.072676812786,PERFORM Bethlehem/Empire Capital-region cluster,medium
G,39,LEEDS,896.523491779261,0.408278691528877,366.031438148537,366.031438148537,0,0,898.21312136353,PERFORM Athens/South-Cairo/West-Coxsackie cluster,medium
G,73,PLEASANT VLY,896.523491779261,0.358300196665811,321.224543420029,321.224543420029,0,0,788.260432664784,PERFORM Roseton/CPV-Valley cluster,medium
G,76,RAMAPO,896.523491779261,0.233421111805312,209.267510210696,209.267510210696,0,0,513.526445971687,Residual Zone-G plants at Ramapo proxy,medium
I,78,CE UG,1.36785827514832,1,1.36785827514832,1.36785827514832,0,0,565.099092,PERFORM Zone-I residual at CE UG interface proxy,low
J,79,RAV A-3,2374.3487998347,0.706420369463462,1677.28835641436,1677.28835641436,0,0,2964.90100995997,PERFORM Ravenswood/Astoria generation cluster,high
J,81,GOETHALS,2374.3487998347,0.165299657210587,392.479042711045,392.479042711045,0,0,693.775465424283,Residual Zone-J generation at Goethals/Gowanus proxy,medium
J,82,AK-3,2374.3487998347,0.128279973325951,304.581400709299,304.581400709299,0,0,538.40098461575,PERFORM Arthur-Kill/Narrows generation cluster,high
K,80,NORTHPORT,957.102010357351,0.284679453396702,272.467277153415,272.467277153415,0,0,678.940381470316,PERFORM Northport plant,high
K,9003,EAST GARDEN CITY,957.102010357351,0.715320546603298,684.634733203936,684.634733203936,0,0,1705.98896052968,Residual Zone-K plants at East Garden City proxy,medium
