conductor_code,temperature_c,ambient_c,wind_m_s,wind_angle_deg,solar_w_m2,pressure_pa,convection_w_m,radiation_w_m,solar_w_m,ampacity_amp
HAWK_477_ACSR,75,-10,0,90,0,101325,57.34205090631433,30.733547320564686,0.0,781.1041476879311
HAWK_477_ACSR,75,20,0.2,0,500,95000,31.45958584940948,22.690445910084662,8.71728,561.0036204771728
HAWK_477_ACSR,75,40,0.61,90,1000,101325,42.07352283666107,15.761312164843984,17.43456,529.0214770614177
HAWK_477_ACSR,75,25,2,45,800,101325,97.03713408759317,21.08521090790578,13.947648,849.4978148110918
HAWK_477_ACSR,75,35,5,-135,1000,101325,134.125081540358,17.623468412832572,17.43456,964.587808078622
HAWK_477_ACSR,75,40,1,180,0,85000,19.195622105262863,15.761312164843984,0.0,492.09370794430663
HAWK_477_ACSR,75,50,0,30,1200,101325,11.852049317274453,11.759958401510335,20.921472,136.52133425399484
DRAKE_795_ACSR,75,-10,0,90,0,101325,69.4644459870167,39.68854362609053,0.0,1131.1979904589082
DRAKE_795_ACSR,75,20,0.2,0,500,95000,38.11029894240457,29.301881198570868,11.257280000000002,811.3619500323873
DRAKE_795_ACSR,75,40,0.61,90,1000,101325,47.91354469764092,20.353769089332324,22.514560000000003,732.3681124183973
DRAKE_795_ACSR,75,25,2,45,800,101325,113.12782697942205,27.228920379906302,18.011648,1197.6063672805417
DRAKE_795_ACSR,75,35,5,-135,1000,101325,156.3656960891067,22.75851165666491,22.514560000000003,1354.9711980037291
DRAKE_795_ACSR,75,40,1,180,0,85000,21.86985906725568,20.353769089332324,0.0,703.5558548196993
DRAKE_795_ACSR,75,50,0,30,1200,101325,14.357631556994253,15.186519707311717,27.017471999999998,172.10594230125326
CARDINAL_954_ACSR,75,-10,0,90,0,101325,73.5624425127533,42.84070232563563,0.0,1242.0123668561112
CARDINAL_954_ACSR,75,20,0.2,0,500,95000,40.35858395269525,31.629106420118017,12.151359999999999,890.483832766686
CARDINAL_954_ACSR,75,40,0.61,90,1000,101325,49.81516656538269,21.970313926752226,24.302719999999997,793.2526709146097
CARDINAL_954_ACSR,75,25,2,45,800,101325,118.43615415809255,29.391506114050486,19.442176,1304.372172918737
CARDINAL_954_ACSR,75,35,5,-135,1000,101325,163.70288532471815,24.566046878493896,24.302719999999997,1474.0789531025664
CARDINAL_954_ACSR,75,40,1,180,0,85000,22.74064133614185,21.970313926752226,0.0,769.7514890938367
CARDINAL_954_ACSR,75,50,0,30,1200,101325,15.204647946491773,16.392669286953804,29.163263999999998,179.60093753437556
