scenario_id,gen_row,generator_key,bus_id,raw_prior_pg_mw,solved_pg_mw,pg_departure_mw,initial_qg_mvar,solved_qg_mvar,qg_departure_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,raw_prior_pg_public_mw,solved_pg_public_mw,pg_departure_public_mw
S2_2019_WINTER_PEAK_PUBLIC,1,NPCC_S7:GEN_ROW:10:BUS:42,42,141.426410258,142.852906813,1.42649655457,349.52573,114.098294351,-235.427435649,0,568.003995,-999,999,394.316435492,398.293705619,3.97727012666
S2_2019_WINTER_PEAK_PUBLIC,2,NPCC_S7:GEN_ROW:11:BUS:47,47,562.477594034,567.542070981,5.06447694735,70.3444442,6.80992735352,-63.5345168465,0,944.920662,-999,999,1568.26549948,1582.38596322,14.120463737
S2_2019_WINTER_PEAK_PUBLIC,3,NPCC_S7:GEN_ROW:12:BUS:48,48,23.8463175041,24.0642675279,0.217950023781,132.871442,3.17066672367,-129.700775276,0,40.0600457,-999,999,66.4868386369,67.0945135141,0.607674877246
S2_2019_WINTER_PEAK_PUBLIC,4,NPCC_S7:GEN_ROW:13:BUS:50,50,799.500784746,825.130186635,25.6294018887,448.554516,65.8909439181,-382.663572082,0,1105.24857749,-999,999,2229.11900994,2300.577335,71.4583250618
S2_2019_WINTER_PEAK_PUBLIC,5,NPCC_S7:GEN_ROW:14:BUS:51,51,211.858802659,218.63634796,6.77754530009,44.8515469,-72.0953143707,-116.946861271,0,292.878562142,-999,999,590.691708429,609.588444189,18.8967357599
S2_2019_WINTER_PEAK_PUBLIC,6,NPCC_S7:GEN_ROW:15:BUS:53,53,237.817423954,239.785328974,1.96790502016,242.955128,106.569328095,-136.385799905,0,288.8,-999,999,663.067942829,668.554734804,5.48679197557
S2_2019_WINTER_PEAK_PUBLIC,7,NPCC_S7:GEN_ROW:16:BUS:54,54,190.061256427,194.107236346,4.04597991879,0.470267887,-7.72438992715,-8.19465781415,0,197.192650894,-999,999,529.917128086,541.197880929,11.2807528434
S2_2019_WINTER_PEAK_PUBLIC,8,NPCC_S7:GEN_ROW:17:BUS:54,54,190.061256427,194.107236346,4.04597991879,65.0449814,-77.3134883699,-142.35846977,0,197.192650894,-9999,9999,529.917128086,541.197880929,11.2807528434
S2_2019_WINTER_PEAK_PUBLIC,9,NPCC_S7:GEN_ROW:18:BUS:55,55,190.061256427,194.081714671,4.02045824359,416.208953,61.2171974502,-354.99175555,0,197.192650894,-999,999,529.917128086,541.126722961,11.2095948753
S2_2019_WINTER_PEAK_PUBLIC,10,NPCC_S7:GEN_ROW:19:BUS:56,56,477.188977464,487.096026344,9.90704887997,123.109611,-6.7391311981,-129.848742198,0,495.093851384,-999,999,1330.46901428,1358.09123982,27.6222255339
S2_2019_WINTER_PEAK_PUBLIC,11,NPCC_S7:GEN_ROW:20:BUS:57,57,13.7989408057,14.0901162822,0.29117547652,88.7434425,4.889995342,-83.853447158,0,14.3166985642,-999,999,38.4733596938,39.2851972834,0.81183758956
S2_2019_WINTER_PEAK_PUBLIC,12,NPCC_S7:GEN_ROW:21:BUS:60,60,57.382064369,58.5769872088,1.19492283986,202.606111,-2.61183673393,-205.217947734,0,59.5351288284,-999,999,159.989149423,163.320759934,3.33161051065
S2_2019_WINTER_PEAK_PUBLIC,13,NPCC_S7:GEN_ROW:22:BUS:61,61,127.49264583,130.124545691,2.63189986093,-23.9178436,-8.83963506168,15.0782085383,0,132.276368542,-999,999,355.467168852,362.805270482,7.33810163068
